ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
006-084-00,[98],1,['93105'],1,suelo_estandar,S,1.0,6.0,84.0,0.0,MAHOU CANAL,98,98,posicion_suelo,1.0
006-086-40,[82],1,['32138'],1,AM,AM,10.0,6.0,86.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-090-40,[82],1,['32138'],1,AM,AM,10.0,6.0,90.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-098-00,[96],1,['91254'],1,AM,AM,2.0,6.0,98.0,0.0,VENUES,96,96,posicion_rack,1.5
006-102-40,[82],1,['32138'],1,AM,AM,10.0,6.0,102.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-116-40,[82],1,['32138'],1,AM,AM,10.0,6.0,116.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-120-20,[24],1,['91079'],1,AM,AM,2.0,6.0,120.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
006-120-40,[82],1,['32138'],1,AM,AM,10.0,6.0,120.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-122-10,[3],1,['91186'],1,AM,AM,1.0,6.0,122.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
006-122-30,[3],1,['91184'],1,AM,AM,2.0,6.0,122.0,30.0,ALHAMBRA,3,3,posicion_rack,1.5
006-126-10,[3],1,['91227'],1,AM,AM,1.0,6.0,126.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
006-126-20,[82],1,['31149'],1,AM,AM,30.0,6.0,126.0,20.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-126-30,[23],1,['127076'],1,AM,AM,18.0,6.0,126.0,30.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
006-126-40,[24],1,['91043'],1,AM,AM,1.0,6.0,126.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
