art,reserva,owner_base,uds,adr,qcnt,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte,estado_conversion,eu_equivalente,modulos_3eu,penaliza_altura_10,impacto_10
103338,29,29,3,AV13702,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.027777777777777776,0.009259259259259259,False,0.0
106308,33,33,186,AV07306,1,C,12.0,balda_9h,subhueco_balda,15.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,1.722222222222222,0.5740740740740741,False,0.0
186078,61,61,33,AJ02201,33,C,12.0,balda_9h,subhueco_balda,2.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.3055555555555555,0.10185185185185185,False,0.0
102137,32,32,2,AV10906,2,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,False,0.0
21017,71,71,5,BA14004,1,C,2.0,suelo_126,posicion_suelo,2.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,2.5,0.8333333333333334,False,0.0
148022,37 7BULTOS,37,7,AL105,1,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.06481481481481481,0.02160493827160494,False,0.0
204091,33,33,3,BB13701,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.027777777777777776,0.009259259259259259,False,0.0
16005,77,77,4,AJ13006,4,B,10.5,EU,posicion_rack,0.38095238095238093,match_articulo; owner=prefijo_RESERVA,soportado,0.38095238095238093,0.12698412698412698,False,0.0
108040,71,71,1,BB09205,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,True,1.0
54063,32,32,1,AK01803,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.009259259259259259,0.0030864197530864196,False,0.0
*MULTI*,,sin_asignacion_segura,1,AO13004,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
98501,61,61,1,AV12403,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
98614,61,61,10,AO13903,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
74036,60,60,330,BA05001,1,C,12.0,balda_9h,subhueco_balda,27.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,3.0555555555555554,1.0185185185185186,False,0.0
151030,29,29,2,AJ09706,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.018518518518518517,0.006172839506172839,False,0.0
33049,64,64,2,BE09401,1,A,3.0,EU,posicion_rack,0.6666666666666666,match_articulo_propietario; owner=prefijo_RESERVA,soportado,0.6666666666666666,0.2222222222222222,False,0.0
204025,64,64,21,AK08806,1,B,17.5,suelo_126,posicion_suelo,1.2,match_articulo; owner=prefijo_RESERVA,soportado,1.2,0.39999999999999997,False,0.0
16022,77,77,6,AQ07604,1,B,6.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA,soportado,1.0,0.3333333333333333,False,0.0
109314,29,29,6,BF07103,6,C,16.0,AM,posicion_rack,0.375,dimensión compatible con AM; owner=prefijo_RESERVA,inferido,0.5625,0.1875,False,0.0
991006,32,32,1,AV10906,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
105098,33,33,18,BB13701,18,C,12.0,balda_9h,subhueco_balda,1.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.16666666666666666,0.05555555555555555,False,0.0
43046,7,7,1,AZ00903,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA,inferido,0.09375,0.03125,False,0.0
98563,61,61,8,AR09401,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
*MULTI*,,sin_asignacion_segura,1,AV13002,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
147040,64,64,4,AV08309,4,C,2.0,suelo_126,posicion_suelo,2.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,2.0,0.6666666666666666,False,0.0
23001,23,23,4,97,1,C,1.0,suelo_250,posicion_suelo,4.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA,inferido,4.0,1.3333333333333333,True,4.0
109044,32,32,7,AV10906,7,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.06481481481481481,0.02160493827160494,False,0.0
98016,14 VOLUNTARIA,14,18,BA02801,18,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
22054,32,32,2,AU05001,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,False,0.0
98615,61,61,5,AO14002,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
98641,61,61,8,AV10306,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
61016,61,61,77,BD04601,77,B,252.0,EU,posicion_rack,0.3055555555555556,match_articulo; owner=prefijo_RESERVA,soportado,0.3055555555555556,0.10185185185185186,False,0.0
98507,61,61,240,AV10203,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
12070,77,77,163,AV07110,163,B,209.0,EU,posicion_rack,0.7799043062200957,match_articulo; owner=prefijo_RESERVA,soportado,0.4332801701222754,0.028885344674818358,False,0.0
