ubicacion,owner,article,tipologia,width,stock_pal_total,pallet_rows,denominacion,pasillo,columna,altura,denominacion_propietario
006-120-40,82,32138,AM,AM,10.0,1,TABURETE NEGRO ALTO BRUTUS 2026,6.0,120.0,40.0,BRUTUS DESARROLLO COMERCIAL
006-122-10,3,91186,AM,AM,1.0,1,BARRA PARA GRIFO AZULEJOS VERDES JARDIN,6.0,122.0,10.0,ALHAMBRA
006-122-30,3,91184,AM,AM,2.0,1,BARRA PARA BOTELLERO AZULEJOS VERDE JARD,6.0,122.0,30.0,ALHAMBRA
006-126-10,3,91227,AM,AM,1.0,1,BARRA AZULEJOS DE BARRO PARA GRIFO JARDI,6.0,126.0,10.0,ALHAMBRA
006-126-20,82,31149,AM,AM,30.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,6.0,126.0,20.0,BRUTUS DESARROLLO COMERCIAL
006-126-30,23,127076,AM,AM,18.0,1,PIZARRA DE METACRILATO ROJA MAHOU,6.0,126.0,30.0,MAHOU-MARKETING OCIO
006-126-40,24,91043,AM,AM,1.0,1,BARRA 1.5MT C/LED C/LOGOMAHOU MEGABRAND,6.0,126.0,40.0,MCC MADRID
006-128-10,23,31004,AM,AM,1.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,6.0,128.0,10.0,NOMBRE
006-128-20,3,22009,AM,AM,4.0,1,MESA MADERA DIRECTOR 2015 SIN LOGO,6.0,128.0,20.0,NOMBRE
006-128-20,3,91227,AM,AM,1.0,1,BARRA AZULEJOS DE BARRO PARA GRIFO JARDI,6.0,128.0,20.0,NOMBRE
006-128-30,4,91075,AM,AM,1.0,1,BARRA 140x70x91 cm SEMICIRCULAR AZUL LOG,6.0,128.0,30.0,NOMBRE
006-128-40,4,167003,AM,AM,2.0,1,BOTELLERO AZUL SOLAN,6.0,128.0,40.0,NOMBRE
006-129-10,34,184250,TR,TR,3.0,1,CARTEL BEER & TAPAS,6.0,129.0,10.0,NOMBRE
006-129-10,34,202042,TR,TR,3.0,1,SOMBRILLA BLANCA SAN MIGUEL SINCE 1890,6.0,129.0,10.0,NOMBRE
006-129-10,34,203075,TR,TR,3.0,1,"VALLA/TOBLERONE TOSTA 0,0 MAGNA",6.0,129.0,10.0,NOMBRE
006-129-10,34,206115,TR,TR,5.0,1,CHAPA ROJA MICROPERFORADA,6.0,129.0,10.0,NOMBRE
006-129-10,34,51242,TR,TR,1.0,1,LETRERO LUMINOSO CERVECERIA 340X50CM,6.0,129.0,10.0,NOMBRE
006-129-10,34,51243,TR,TR,2.0,1,LETRERO LUMINOSO MAHOUDRID 320X52CM,6.0,129.0,10.0,NOMBRE
006-129-20,64,206088,TR,TR,1.0,1,ESCENARIO CORONA MARRON,6.0,129.0,20.0,NOMBRE
006-129-30,14,23036,TR,TR,1.0,1,MESA MADERA BLANCA PUERTA BLANCA,6.0,129.0,30.0,NOMBRE
006-130-20,96,32040,TR,TR,1.0,1,TABURETE METAL EVENTOS DESDE 1890 MAHOU,6.0,130.0,20.0,NOMBRE
006-132-10,24,91042,AM,AM,1.0,1,BARRA C/LED 151x101 S/LOGO MEGABRAND,6.0,132.0,10.0,NOMBRE
006-132-20,24,22014,AM,AM,1.0,1,MESA PLASTICO/METAL ROJA TERRAZA MAHOU,6.0,132.0,20.0,NOMBRE
006-132-20,24,31004,AM,AM,1.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,6.0,132.0,20.0,NOMBRE
006-132-30,23,21212,AM,AM,1.0,1,MESA BAJA REDONDA ROJA MAHOU,6.0,132.0,30.0,NOMBRE
006-132-40,3,167006,AM,AM,3.0,1,BOTELLERO BLANCO CERVEZAS  ALHAMBRA,6.0,132.0,40.0,NOMBRE
007-001-20,24,22058,AM,AM,3.0,1,MESA TERRAZA PLAST CUADR BLANC ALHAMBRA,7.0,1.0,20.0,MCC MADRID
007-001-30,29,141195,AM,AM,8.0,1,CUADROS CRISTAL VARIOS MODELOS ATLETICO,7.0,1.0,30.0,MAHOU FUTBOL
007-001-40,24,31135,AM,AM,12.0,1,SILLA MARRON IRRADIACION MAHOU 2022,7.0,1.0,40.0,MCC MADRID
007-002-20,24,22139,AM,AM,9.0,1,MESA TERRAZA RECICLABLE SAN MIGUEL VERDE,7.0,2.0,20.0,MCC MADRID
007-002-30,3,31171,AM,AM,26.0,1,SILLA BRIEL ALHAMBRA,7.0,2.0,30.0,ALHAMBRA
007-002-40,24,22058,AM,AM,10.0,1,MESA TERRAZA PLAST CUADR BLANC ALHAMBRA,7.0,2.0,40.0,MCC MADRID
