ubicacion,owner,article,tipologia,width,stock_pal_total,pallet_rows,denominacion,pasillo,columna,altura,denominacion_propietario
010-072-40,3,174150,EU,EU,1.0,1,TOTEM AZULEJOS VERDE CLARO TIENDA JARDIN,10.0,72.0,40.0,NOMBRE
010-072-40,3,52019,EU,EU,8.0,2,BOMBILLA GRANDE CALIDA E27,10.0,72.0,40.0,NOMBRE
010-072-40,3,53015,EU,EU,2.0,1,LUCES GUIRNALDA BOMBILLA PLASTICA,10.0,72.0,40.0,NOMBRE
010-072-40,3,54123,EU,EU,4.0,2,LAMPARA RATAN JONESY,10.0,72.0,40.0,NOMBRE
010-072-40,3,86114,EU,EU,26.0,1,MANTEL BEIGE GATO PRETO JARDIN ALHAMBRA,10.0,72.0,40.0,NOMBRE
010-073-10,89,102226,EU,EU,7.0,1,CAMISETA ROJA MAHOU NOS ENCONTRAMOS TM,10.0,73.0,10.0,NOMBRE
010-073-10,89,102227,EU,EU,10.0,1,CAMISETA ROJA MAHOU NOS ENCONTRAMOS TS,10.0,73.0,10.0,NOMBRE
010-073-10,89,103203,EU,EU,6.0,1,CAMISETA ROJA MAHOU NOS ENCONTRAMOS TL,10.0,73.0,10.0,NOMBRE
010-073-10,89,103204,EU,EU,7.0,1,CAMISETA ROJA MAHOU NOS ENCONTRAMOS TXL,10.0,73.0,10.0,NOMBRE
010-073-10,89,103205,EU,EU,9.0,1,CAMISETA ROJA MAHOU NOS ENCONTRAMOS TXXL,10.0,73.0,10.0,NOMBRE
010-073-10,89,106317,EU,EU,8.0,1,GORRO ROSA MAHOU ROSE T-M/L,10.0,73.0,10.0,NOMBRE
010-073-10,89,106318,EU,EU,11.0,1,GORRO BLANCO MAHOU ROSE T-M/L,10.0,73.0,10.0,NOMBRE
010-073-10,89,112025,EU,EU,3.0,1,DELANTAL CINTURA ROJO MAHOU,10.0,73.0,10.0,NOMBRE
010-073-10,89,113015,EU,EU,2.0,1,CORTINA ROJA,10.0,73.0,10.0,NOMBRE
010-073-10,89,113070,EU,EU,2.0,1,CORTINA BURDEOS,10.0,73.0,10.0,NOMBRE
010-073-10,89,123052,EU,EU,3.0,1,BOLSA/TOTE BAG DE TELA  ROJA LOGO MAHOU,10.0,73.0,10.0,NOMBRE
010-073-10,89,126113,EU,EU,1.0,1,POSAVASO REDONDO MAHOU ROSE,10.0,73.0,10.0,NOMBRE
010-073-10,89,128052,EU,EU,79.0,1,TARJETON MADRID MADRID MADRID,10.0,73.0,10.0,NOMBRE
010-073-10,89,162042,EU,EU,1.0,1,MEGAFONO ALTAVOZ ROJO JEC,10.0,73.0,10.0,NOMBRE
010-073-10,89,189015,EU,EU,1.0,1,LETRERO METAL GRIS MAHOU 0.0 TOSTADA,10.0,73.0,10.0,NOMBRE
010-073-10,89,36037,EU,EU,1.0,1,PUFF ROSA PATAS DORADA,10.0,73.0,10.0,NOMBRE
010-073-10,89,43015,EU,EU,1.0,1,CARRO NEGRO IPA  MAHOU,10.0,73.0,10.0,NOMBRE
010-073-10,89,59015,EU,EU,1.0,1,TIRA NEON LED FLEXIBLE ROSA,10.0,73.0,10.0,NOMBRE
010-073-10,89,64019,EU,EU,7.0,1,COPA CRISTAL LOGO BLANCO MAHOU ROSE,10.0,73.0,10.0,NOMBRE
010-073-10,89,86146,EU,EU,3.0,1,TABLE TENT MAHOU ROSE,10.0,73.0,10.0,NOMBRE
010-073-20,61,121001,EU,EU,339.0,1,CHAPA ROJA LOGO M  MAHOU,10.0,73.0,20.0,NOMBRE
010-073-20,61,131192,EU,EU,99.0,2,LIBRO LOS 20 ICONOS DE MADRID,10.0,73.0,20.0,NOMBRE
010-073-20,61,131206,EU,EU,6.0,1,LIBRO FUE POSIBLE EN GRANADA,10.0,73.0,20.0,NOMBRE
010-073-20,61,146023,EU,EU,24.0,1,BOTELLA CRISTAL MARRON VACIA,10.0,73.0,20.0,NOMBRE
010-073-30,77,121056,EU,EU,1.0,1,PLACA CHAPA NEGRA FOUNDERS,10.0,73.0,30.0,NOMBRE
010-073-30,77,126059,EU,EU,30.0,1,POSAVASO FOUNDERS ALL DAY IPA,10.0,73.0,30.0,NOMBRE
010-073-30,77,129001,EU,EU,2.0,1,BAR RUNNER/BEER MAT  NEGRO FOUNDERS,10.0,73.0,30.0,NOMBRE
010-073-30,77,133232,EU,EU,1.0,1,PULSERA LED MAHOU SAN MIGUEL,10.0,73.0,30.0,NOMBRE
010-073-30,77,152159,EU,EU,15.0,1,BLOQUE ESPUMA PARA PLANTAS DECORACION,10.0,73.0,30.0,NOMBRE
010-073-30,77,169003,EU,EU,2.0,2,REGLETA BLANCA Y NEGRAS,10.0,73.0,30.0,NOMBRE
010-073-30,77,83123,EU,EU,2.0,1,ABRIDOR METALICO FOUNDERS 2020,10.0,73.0,30.0,NOMBRE
010-073-30,77,84031,EU,EU,5.0,1,CUBITERA TRANSPARENTE SOLAN LOGO BLANCO,10.0,73.0,30.0,NOMBRE
010-073-30,77,84448,EU,EU,3.0,1,CUBITERA ROJA MAHOU SAN MIGUEL C/LED,10.0,73.0,30.0,NOMBRE
010-073-40,14,102021,EU,EU,13.0,1,CAMISETA 50 ANOS MALAGA SAN MIGUEL,10.0,73.0,40.0,NOMBRE
010-073-40,14,103017,EU,EU,10.0,1,CAMISETA L 50 ANOS MALAGA SAN MIGUEL,10.0,73.0,40.0,NOMBRE
010-073-40,14,103018,EU,EU,1.0,1,CAMISETA L BLANCA LO MEJOR  SAN MIGUEL,10.0,73.0,40.0,NOMBRE
010-073-40,14,104015,EU,EU,27.0,1,CAMISETA XL AZUL/BLANCA SAN MIGUEL,10.0,73.0,40.0,NOMBRE
010-073-40,14,122025,EU,EU,225.0,1,BOLSA TELA BEIGE SUPERLIKE,10.0,73.0,40.0,NOMBRE
010-073-40,14,128006,EU,EU,1.0,1,TOMBOLA ROJA MAHOU,10.0,73.0,40.0,NOMBRE
010-073-40,14,141175,EU,EU,1.0,1,CUADRO MAHOU TERCIO ROJO,10.0,73.0,40.0,NOMBRE
010-073-40,14,144035,EU,EU,2.0,1,CUBO MADERA 36X36X20 CM QUATTROCENTO,10.0,73.0,40.0,NOMBRE
010-073-40,14,161015,EU,EU,2.0,1,CAJA REGISTRADORA,10.0,73.0,40.0,NOMBRE
010-073-40,14,161021,EU,EU,2.0,1,VENTILADOR DE PARED BLANCO,10.0,73.0,40.0,NOMBRE
010-073-40,14,163013,EU,EU,15.0,1,CARRETE FOTOS INSTAX MINI  FUJIFILM,10.0,73.0,40.0,NOMBRE
010-073-40,14,169003,EU,EU,1.0,1,REGLETA BLANCA Y NEGRAS,10.0,73.0,40.0,NOMBRE
010-073-40,14,53017,EU,EU,18.0,1,FOCO BLANCO DE LED,10.0,73.0,40.0,NOMBRE
010-073-40,14,71159,EU,EU,24.0,1,VASO FOSTERS LOGO AUSTRALIA CRISTAL 25 C,10.0,73.0,40.0,NOMBRE
010-073-40,14,81028,EU,EU,2.0,1,PLATO MADERA REDONDO,10.0,73.0,40.0,NOMBRE
010-074-00,5,128246,suelo_250,S,1.0,1,RULETA VERDE SAN MIGUEL SUMMER ON AIR,10.0,74.0,0.0,SAN MIGUEL
010-074-10,3,142024,EU,EU,6.0,1,SACO CORTEZAS DE PINO,10.0,74.0,10.0,NOMBRE
010-074-10,3,152191,EU,EU,150.0,2,VELA ALHAMBRA 100 ANOS PACK 6,10.0,74.0,10.0,NOMBRE
010-074-10,3,161194,EU,EU,2.0,1,TERMO DE 10 LITROS COMFEE,10.0,74.0,10.0,NOMBRE
010-074-10,3,53023,EU,EU,9.0,1,LUZ EMERGENCIA LED DOBLE FOCO,10.0,74.0,10.0,NOMBRE
010-074-10,3,84107,EU,EU,4.0,1,CUBITERA ALBERO NEGRA OVALADA LUMINOSA A,10.0,74.0,10.0,NOMBRE
010-074-10,3,86153,EU,EU,10.0,2,BANDEJA CAMARERO OVALADA EL PATIO,10.0,74.0,10.0,NOMBRE
010-074-20,64,132084,EU,EU,3.0,1,ANCLAJES TABLA DE SNOWBOARD SUBURBAN,10.0,74.0,20.0,NOMBRE
010-074-20,64,152114,EU,EU,2.0,2,PORTAVELA MIMBRE C/ASA CORONA 55CM ALTO,10.0,74.0,20.0,NOMBRE
010-074-20,64,42057,EU,EU,3.0,1,COJIN VERDE FORMAS GEOMETRICAS CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,42062,EU,EU,1.0,1,FUNDA BLANCO FORMAS AZULES CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,42064,EU,EU,2.0,1,COJIN BLANCO FORMA GEO AZUL CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,42066,EU,EU,1.0,1,COJIN AMARILLO LOGO CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,42068,EU,EU,2.0,1,COJIN AMARILLO CON FLORES CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,42071,EU,EU,3.0,1,COJIN TRIANGULO ROSA CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,42073,EU,EU,2.0,1,COJIN PUNTO AZUL CON FLECOS CORONA,10.0,74.0,20.0,NOMBRE
010-074-20,64,84052,EU,EU,6.0,1,CUBITERA METAL CORONA,10.0,74.0,20.0,NOMBRE
010-074-30,3,101632,EU,EU,1.0,1,CORTINA VERDE PARA TRASERA,10.0,74.0,30.0,NOMBRE
010-074-30,3,122060,EU,EU,40.0,1,TOTEBAG BOLSA TELA JARDIN ALHAMBRA  2022,10.0,74.0,30.0,NOMBRE
010-074-30,3,124288,EU,EU,1.0,1,PACK COPA MAS BOTELLA ALHAMBRA CAJA VERD,10.0,74.0,30.0,NOMBRE
010-074-30,3,127054,EU,EU,1.0,1,PIZARRA MAGNETICA JARDIN ALHAMBRA,10.0,74.0,30.0,NOMBRE
010-074-30,3,129139,EU,EU,45.0,1,PARAGUAS VERDE ALHAMBRA,10.0,74.0,30.0,NOMBRE
010-074-30,3,144078,EU,EU,4.0,2,CUBO DE METACRILATO VERDE,10.0,74.0,30.0,NOMBRE
010-074-30,3,149052,EU,EU,14.0,1,CUADRADO MADERA IMITACION BALDOSA,10.0,74.0,30.0,NOMBRE
010-074-30,3,172191,EU,EU,1.0,1,EXPOSITOR 2 BOTELLAS LED ALHAMBRA,10.0,74.0,30.0,NOMBRE
010-074-30,3,176006,EU,EU,8.0,1,URNA EXPOSITORA INDIVIDUAL METACRILATO 2,10.0,74.0,30.0,NOMBRE
010-074-30,3,184147,EU,EU,1.0,1,"LETRERO/CORPOREO LOGO LETRAS BLANCAS ""AL",10.0,74.0,30.0,NOMBRE
010-074-30,3,184258,EU,EU,1.0,1,CARTEL LOGO BLANCO CELOSIA ALHAMBRA 47X4,10.0,74.0,30.0,NOMBRE
010-074-30,3,49052,EU,EU,8.0,1,MINI PERCHERO BLANCO DE METAL,10.0,74.0,30.0,NOMBRE
010-074-30,3,54107,EU,EU,4.0,1,LAMPARA DE TECHO JARDIN ALHAMBRA,10.0,74.0,30.0,NOMBRE
010-074-30,3,84002,EU,EU,2.0,1,CUBITERA METAL CUADRADA ALHAMBRA,10.0,74.0,30.0,NOMBRE
010-074-30,3,85052,EU,EU,1.0,1,BOWL DE METAL 5L,10.0,74.0,30.0,NOMBRE
010-074-30,3,85053,EU,EU,2.0,1,BANDEJA DE MADERA GRANDE PARA COLGAR,10.0,74.0,30.0,NOMBRE
010-074-30,3,86007,EU,EU,51.0,1,SERVILLETERO PREMIUM MADERAOSCURA  ALHAM,10.0,74.0,30.0,NOMBRE
010-074-30,3,87052,EU,EU,3.0,1,CUBO BASURA NEGRO FNISS 10L,10.0,74.0,30.0,NOMBRE
010-074-30,3,89122,EU,EU,1.0,1,TABLA DE PLANCHAR,10.0,74.0,30.0,NOMBRE
010-074-40,4,109081,EU,EU,20.0,1,CAJA BUFANDA ROSA REAL MADRID SOLAN,10.0,74.0,40.0,NOMBRE
010-074-40,4,113019,EU,EU,25.0,1,TOALLA MICROFIBRA AZUL SOLAN CON BOLSA,10.0,74.0,40.0,NOMBRE
010-074-40,4,123106,EU,EU,132.0,1,BOLSA ROSA SIN LOGO,10.0,74.0,40.0,NOMBRE
010-074-40,4,133158,EU,EU,16.0,1,LINTERNA PARED ROSA CON LED CIRCULAR,10.0,74.0,40.0,NOMBRE
010-074-40,4,146028,EU,EU,1.0,1,BOTELLA DECORACION DAMAJUANA SOLAN,10.0,74.0,40.0,NOMBRE
010-074-40,4,169004,EU,EU,1.0,1,SENSOR DE MOVIMIENTO 2UDS  TOUCH,10.0,74.0,40.0,NOMBRE
010-074-40,4,172213,EU,EU,1.0,1,EXPOSITOR METACRILATO SOLAN LUMINOSO CON,10.0,74.0,40.0,NOMBRE
010-074-40,4,18100,EU,EU,28.0,1,AGUA 1L 10o EDICION SDC 2023 MIEDO,10.0,74.0,40.0,NOMBRE
010-074-40,4,181227,EU,EU,4.0,1,FOAM SOLAN CON PEANA CONCENTRATE,10.0,74.0,40.0,NOMBRE
010-074-40,4,181228,EU,EU,1.0,1,FOAM SOLAN CON PEANA RELAJATE,10.0,74.0,40.0,NOMBRE
010-074-40,4,181229,EU,EU,3.0,1,FOAM SOLAN CON PEANA ESCUCHATE,10.0,74.0,40.0,NOMBRE
010-074-40,4,42051,EU,EU,4.0,1,FUNDA COJIN AZUL MARINO GURUI,10.0,74.0,40.0,NOMBRE
010-074-40,4,42114,EU,EU,1.0,1,COJIN BLANCO CUADRADO,10.0,74.0,40.0,NOMBRE
010-074-40,4,42123,EU,EU,1.0,1,COJIN CRUDO FONTEIDE 40X40,10.0,74.0,40.0,NOMBRE
010-074-40,4,86095,EU,EU,2.0,1,SERVILLETERO DE MADERA SOLAN  2021,10.0,74.0,40.0,NOMBRE
010-075-10,71,102578,EU,EU,10.0,1,CAMISETA BLANCA TALLA M LISA,10.0,75.0,10.0,BUDWEISER
010-075-10,71,106311,EU,EU,3.0,1,GORRA BLANCA STELLA ARTOIS,10.0,75.0,10.0,BUDWEISER
010-075-10,71,108034,EU,EU,3.0,1,MONO NEGRO STELLA ARTOIS,10.0,75.0,10.0,BUDWEISER
010-075-10,71,124239,EU,EU,22.0,1,ESTUCHE PARA CALIZ STELLA ARTOIS,10.0,75.0,10.0,BUDWEISER
010-075-20,96,121070,EU,EU,578.0,1,CHAPA +FEST CORAZON ROJO,10.0,75.0,20.0,NOMBRE
010-075-20,96,121071,EU,EU,510.0,1,CHAPA BLANCA +FEST MAHOU SAN MIGUEL,10.0,75.0,20.0,NOMBRE
010-075-20,96,121072,EU,EU,414.0,1,PIN CHAPA ROJA LOGO M (MAHOU),10.0,75.0,20.0,NOMBRE
010-075-20,96,125136,EU,EU,1.0,1,TARJETA MAHOU SAN MIGUEL AMERICAN MAGIC,10.0,75.0,20.0,NOMBRE
010-075-20,96,187254,EU,EU,1.0,1,LONA TELA ROJA MAHOU SAN MIGUEL,10.0,75.0,20.0,NOMBRE
010-075-20,96,187255,EU,EU,1.0,1,LONA ROJA MAHOU SAN MIGUEL GRANDE,10.0,75.0,20.0,NOMBRE
010-075-20,96,39000,EU,EU,88.0,1,CHAPA GRIS MAHOU PARA RESPALDO DE SILLA,10.0,75.0,20.0,NOMBRE
010-075-30,5,133117,EU,EU,5.0,1,ARO ROJO JUEGO PUNTERIA AROS,10.0,75.0,30.0,NOMBRE
010-075-30,5,133118,EU,EU,30.0,1,PALO PARA JUEGO DE AROS,10.0,75.0,30.0,NOMBRE
010-075-30,5,142125,EU,EU,5.0,1,PLANTA PEQUENA CON CESTO DE MIMBRE,10.0,75.0,30.0,NOMBRE
010-075-30,5,163044,EU,EU,1.0,1,CAMARA DE FOTOS INSTAX WIDE 300,10.0,75.0,30.0,NOMBRE
010-075-30,5,33008,EU,EU,1.0,1,ASIENTO MADERA RECTANGULAR RUEDAS,10.0,75.0,30.0,NOMBRE
010-075-30,5,33009,EU,EU,3.0,1,ASIENTO MADERA GRIS,10.0,75.0,30.0,NOMBRE
010-075-30,5,54121,EU,EU,1.0,1,LAMPARA LED FLEXIBLE NEGRA,10.0,75.0,30.0,NOMBRE
010-075-30,5,87047,EU,EU,4.0,1,CUBO BASURA PEQUENO NEGRO METAL,10.0,75.0,30.0,NOMBRE
010-075-40,5,143010,EU,EU,5.0,1,CAJA MADERA CLARA,10.0,75.0,40.0,NOMBRE
010-075-40,5,143015,EU,EU,7.0,1,CAJA MADERA 3 BALDAS,10.0,75.0,40.0,NOMBRE
010-076-00,3,54041,suelo_250,S,2.0,1,"LAMPARA DE PIE 1,8 M",10.0,76.0,0.0,ALHAMBRA
010-076-10,96,181220,EU,EU,3.0,1,FOAM AZUL SPATEN MUNCHEN,10.0,76.0,10.0,NOMBRE
010-076-10,96,181221,EU,EU,11.0,1,FOAM REDONDO SPATEN OKTOBER FEST,10.0,76.0,10.0,NOMBRE
010-076-20,3,109098,EU,EU,1.0,1,CONJUNTO ROPA CIRCO DEL SOL,10.0,76.0,20.0,NOMBRE
010-076-20,3,112023,EU,EU,11.0,1,DELANTAL BEIGE CORTO JARDIN ALHAMBRA,10.0,76.0,20.0,NOMBRE
010-076-20,3,112049,EU,EU,11.0,1,DELANTAL MARRON ALHAMBRA CON CELOSIA PEQ,10.0,76.0,20.0,NOMBRE
010-076-20,3,161133,EU,EU,4.0,1,VENTILADOR/ENFRIADOR JARDIN ALHAMBRA,10.0,76.0,20.0,NOMBRE
010-076-20,3,42065,EU,EU,1.0,1,ALMOHADA BLLANCA INNER,10.0,76.0,20.0,NOMBRE
010-076-20,3,49014,EU,EU,35.0,1,PERCHA PLASTICO AZUL,10.0,76.0,20.0,NOMBRE
010-076-20,3,49030,EU,EU,3.0,1,PLATAFORMA REDONDA JARDIN ALHAMBRA,10.0,76.0,20.0,NOMBRE
010-076-20,3,54108,EU,EU,4.0,1,LAMPARA TECHO MOD1 JARDIN ALHAMBRA,10.0,76.0,20.0,NOMBRE
010-076-20,3,84008,EU,EU,5.0,2,CUBITERA RESERVA 1925 ALHAMBRA,10.0,76.0,20.0,NOMBRE
010-076-20,3,86051,EU,EU,5.0,1,SERVILLETA PAPEL BLANCA 100 UDS.,10.0,76.0,20.0,NOMBRE
010-076-20,3,87050,EU,EU,1.0,1,PAPELERA CON PEDAL VARIOS MODELOS,10.0,76.0,20.0,NOMBRE
010-076-20,3,89110,EU,EU,1.0,1,GRIFO CALENTADOR DE CALENTAMIENTO INSTAN,10.0,76.0,20.0,NOMBRE
010-076-30,77,141039,EU,EU,4.0,1,CUADROS SABOREA  MAHOU,10.0,76.0,30.0,NOMBRE
010-076-30,77,141061,EU,EU,5.0,1,"CUADRO MAHOU ""POR UNA NAVIDAD COMPARTIDA",10.0,76.0,30.0,NOMBRE
010-076-30,77,189033,EU,EU,1.0,1,CINTA ROJA MAHOU,10.0,76.0,30.0,NOMBRE
010-076-40,4,108001,EU,EU,31.0,2,CHALECO S HOMBRE,10.0,76.0,40.0,NOMBRE
010-076-40,4,108002,EU,EU,34.0,1,CHALECO S MUJER,10.0,76.0,40.0,NOMBRE
010-076-40,4,108003,EU,EU,1.0,1,CHALECO M AZUL ELECTRICO,10.0,76.0,40.0,NOMBRE
010-076-40,4,108004,EU,EU,1.0,1,CHALECO L MUJER,10.0,76.0,40.0,NOMBRE
010-076-40,4,108005,EU,EU,4.0,1,CHALECO XL,10.0,76.0,40.0,NOMBRE
010-077-10,80,126110,EU,EU,4.0,1,POSAVASO CERVEZA CORONA,10.0,77.0,10.0,NOMBRE
010-077-10,80,126111,EU,EU,5.0,1,POSAVASO BUDWEISER ROJO THE KING,10.0,77.0,10.0,NOMBRE
010-077-10,80,129061,EU,EU,9.0,1,BAR RUNNER ROJO BUDWEISER,10.0,77.0,10.0,NOMBRE
010-077-10,80,129087,EU,EU,15.0,1,BAR RUNNER WARSTEINER,10.0,77.0,10.0,NOMBRE
010-077-10,80,172188,EU,EU,16.0,1,EXPOSITOR BOTELLA STELLA ARTOIS,10.0,77.0,10.0,NOMBRE
010-077-10,80,172189,EU,EU,2.0,1,EXPOSITOR 3 BOTELLAS MADERA CORONA,10.0,77.0,10.0,NOMBRE
010-077-10,80,172190,EU,EU,1.0,1,EXPOSITOR BOTELLAS CON LUZ BUDWEISER,10.0,77.0,10.0,NOMBRE
010-077-10,80,83144,EU,EU,54.0,1,ABRIDOR ROJO Y GRIS BUDWEISER,10.0,77.0,10.0,NOMBRE
010-077-10,80,86151,EU,EU,15.0,1,DISPENSAROR MADERA CORONA,10.0,77.0,10.0,NOMBRE
010-077-10,80,89097,EU,EU,55.0,1,ALFOMBRILLA NEGRO STELLA ARTOIS,10.0,77.0,10.0,NOMBRE
010-077-20,23,102641,EU,EU,13.0,1,CAMISETA BLANCA LOGO MAHOU2025 TALLA M,10.0,77.0,20.0,NOMBRE
010-077-20,23,103214,EU,EU,9.0,1,CAMISETA BLANCA LOGO MAHOU TALLA XL,10.0,77.0,20.0,NOMBRE
010-077-20,23,106310,EU,EU,4.0,1,GORRA ROJA VIBRA MAHOU,10.0,77.0,20.0,NOMBRE
010-077-20,23,113080,EU,EU,45.0,1,TOALLA ROJA VIBRA MAHOU CON FUNDA,10.0,77.0,20.0,NOMBRE
010-077-20,23,123014,EU,EU,28.0,1,BOLSA PAPEL PEQUENA BEIGE,10.0,77.0,20.0,NOMBRE
010-077-20,23,123027,EU,EU,218.0,1,BOLSA KRAFT BEIGE LOGO NEGRO  MAHOU,10.0,77.0,20.0,NOMBRE
010-077-20,23,123118,EU,EU,301.0,1,BOLSA ALARGADA,10.0,77.0,20.0,NOMBRE
010-077-20,23,132065,EU,EU,388.0,1,PELOTA ROJA Y BLANCA CADA PAQUETE VIENE,10.0,77.0,20.0,NOMBRE
010-077-20,23,149058,EU,EU,1.0,1,CESTO DE PELOTAS DE TENIS ROJAS,10.0,77.0,20.0,NOMBRE
010-077-20,23,162047,EU,EU,14.0,1,CASCOS ROJOS VIETA PRO,10.0,77.0,20.0,NOMBRE
010-077-20,23,192054,EU,EU,21.0,1,FLOTADOR ROJA VIBRA MAHOU,10.0,77.0,20.0,NOMBRE
010-077-20,23,206110,EU,EU,1.0,1,VIGA/COLUMNA TRUSS RECTO DE 4 PUNTOS NEG,10.0,77.0,20.0,NOMBRE
010-077-20,23,206111,EU,EU,14.0,1,VIGA/COLUMNA TRUSS RECTO DE 4 PUNTOS NEG,10.0,77.0,20.0,NOMBRE
010-077-20,23,206112,EU,EU,12.0,1,UNION/CORNER  DE VIGA/COLUMNA TRUSS DE 4,10.0,77.0,20.0,NOMBRE
010-077-20,23,209048,EU,EU,202.0,1,CAJA PELOTAS DE TENIS ROJAS,10.0,77.0,20.0,NOMBRE
010-077-20,23,86154,EU,EU,35.0,1,SERVILLETERO MAHOU ROSE,10.0,77.0,20.0,NOMBRE
010-077-30,5,124144,EU,EU,3.0,1,ESTUCHE SAN MIGUEL PRESS SOPORTE MOVIL (,10.0,77.0,30.0,NOMBRE
010-077-30,5,133112,EU,EU,901.0,2,ABANICO PAI PAI SAN MIGUEL VERDE,10.0,77.0,30.0,NOMBRE
010-077-30,5,133114,EU,EU,1.0,1,LANYARD PORTAVASO BLANCO SAN MIGUEL,10.0,77.0,30.0,NOMBRE
010-077-30,5,133115,EU,EU,135.0,1,BOLSA TELA / TOTEBAG VERDE SAN MIGUEL,10.0,77.0,30.0,NOMBRE
010-077-30,5,133116,EU,EU,310.0,2,ABRIDOR METAL BOTELLA SAN MIGUEL,10.0,77.0,30.0,NOMBRE
010-077-30,5,181208,EU,EU,1.0,1,FOAM CERVEZA MAGNA RUBIA 60X60CM,10.0,77.0,30.0,NOMBRE
010-077-40,5,107107,EU,EU,1.0,1,ABRIGO AMARILLO SAN MIGUEL XQ NO?,10.0,77.0,40.0,NOMBRE
010-077-40,5,108041,EU,EU,1.0,1,PETO BEIGE SAN MIGUEL XQ NO? TALLA M,10.0,77.0,40.0,NOMBRE
010-077-40,5,108042,EU,EU,1.0,1,PETO BEIGE SAN MIGUEL XQ NO? TALLA S,10.0,77.0,40.0,NOMBRE
010-077-40,5,113008,EU,EU,3.0,1,CORTINA TERCIOPELO 140X300 CM GRIS,10.0,77.0,40.0,NOMBRE
010-077-40,5,113010,EU,EU,4.0,1,CORTINA TERCIOPELO 110X300 CM GRIS,10.0,77.0,40.0,NOMBRE
010-077-40,5,113011,EU,EU,5.0,1,CORTINA TERCIOPELO 140X390 CM GRIS,10.0,77.0,40.0,NOMBRE
010-077-40,5,122019,EU,EU,23.0,1,BOLSA TELA SANZIVILA SAN (EPHIMERA),10.0,77.0,40.0,NOMBRE
010-077-40,5,122020,EU,EU,199.0,1,BOLSA TELA BEIGE OSCAR LLOR SAN MIGUEL,10.0,77.0,40.0,NOMBRE
010-077-40,5,132048,EU,EU,15.0,1,ESTERILLA SAN MIGUEL BEER JAMI,10.0,77.0,40.0,NOMBRE
010-077-40,5,133100,EU,EU,6.0,1,GEMELOS PARA CAMISA SAN MIGUEL,10.0,77.0,40.0,NOMBRE
010-077-40,5,145022,EU,EU,1.0,1,MACETERO CERAMICA CUADRADO BEIGE,10.0,77.0,40.0,NOMBRE
010-077-40,5,43027,EU,EU,1.0,1,CARRETILLA PORTATODO METAL NARANJA,10.0,77.0,40.0,NOMBRE
010-077-40,5,44012,EU,EU,1.0,1,MUEBLE MADERA NEGRO 2 BALDAS,10.0,77.0,40.0,NOMBRE
010-077-40,5,86034,EU,EU,2.0,1,PORTAMENU MADERA SAN MIGUEL,10.0,77.0,40.0,NOMBRE
010-078-00,3,172220,suelo_250,S,1.0,1,EXPOSITOR LUMINOSO COLUMPIO CIRCULO VERD,10.0,78.0,0.0,ALHAMBRA
010-078-10,24,121068,EU,EU,700.0,1,CHAPA MAHOU RESERVA,10.0,78.0,10.0,NOMBRE
010-078-10,24,127011,EU,EU,6.0,1,PIZARRA GRANDE ALHAMBRA,10.0,78.0,10.0,NOMBRE
010-078-10,24,134006,EU,EU,350.0,1,BANDERIN NEGRO CORDON BLANCO ALHAMBRA,10.0,78.0,10.0,NOMBRE
010-078-10,24,134007,EU,EU,8.0,1,BANDERIN ROJO SOMBREADO MAHOU,10.0,78.0,10.0,NOMBRE
010-078-10,24,172019,EU,EU,22.0,1,EXPOSITOR BOTELLAS MADERA 3 UDS. MAHOU,10.0,78.0,10.0,NOMBRE
010-078-10,24,172148,EU,EU,10.0,1,IDENTIFICADOR PARED MAHOU,10.0,78.0,10.0,NOMBRE
010-078-10,24,201027,EU,EU,1.0,1,LATERAL CARPA NEGRO 1890 MAHOU,10.0,78.0,10.0,NOMBRE
010-078-10,24,201030,EU,EU,2.0,1,LONA NEGRA CARPA IMPERMEABLE 1890 MAHOU,10.0,78.0,10.0,NOMBRE
010-078-10,24,21048,EU,EU,1.0,1,MESA BAJA REDONDA NEGRA METALICA,10.0,78.0,10.0,NOMBRE
010-078-10,24,32033,EU,EU,4.0,1,TABURETE CUERO/HIERRO MARRON,10.0,78.0,10.0,NOMBRE
010-078-10,24,84002,EU,EU,1.0,1,CUBITERA METAL CUADRADA ALHAMBRA,10.0,78.0,10.0,NOMBRE
010-078-10,24,84024,EU,EU,8.0,1,CUBITERA BASE METAL  TRANSPARENTE MAHOU,10.0,78.0,10.0,NOMBRE
010-078-20,95,102738,EU,EU,9.0,1,CAMISETA MARIA SANGRIA LOS CACHIS,10.0,78.0,20.0,INNOVACION
010-078-20,95,102739,EU,EU,7.0,1,CAMISETA MONTXO CALIMOTXO LOS CACHIS,10.0,78.0,20.0,INNOVACION
010-078-20,95,102740,EU,EU,5.0,1,CAMISETA CURRITO REBUJITO LOS CACHIS,10.0,78.0,20.0,INNOVACION
010-078-20,95,102741,EU,EU,4.0,1,CAMISETA MARIANO TINTO DE VERANO LOS CAC,10.0,78.0,20.0,INNOVACION
