article,transaction_frequency,support,row_frequency,total_quantity,mean_quantity_per_tx,excluded_from_rules_flag
011014,2525,0.11851121749741857,2525,291389,115.40158415841584,False
018000,924,0.043368065333708815,924,513366,555.5909090909091,False
014012,817,0.03834600581995682,817,67457,82.56670746634028,False
012012,623,0.02924058950530367,623,144423,231.81861958266452,False
065072,615,0.028865108420163335,615,52725,85.73170731707317,False
126105,487,0.022857411057917956,487,488706,1003.5030800821355,False
014014,465,0.021824838073782032,465,39792,85.5741935483871,False
011026,430,0.020182108326293063,430,32591,75.79302325581395,False
011104,419,0.019665821834225102,419,39780,94.94033412887828,False
011110,400,0.018774054257016802,400,71233,178.0825,False
061016,368,0.017272129916455457,368,111790,303.7771739130435,False
204000,317,0.014878437998685816,317,3357,10.589905362776026,False
018076,301,0.014127475828405144,301,170459,566.3089700996678,False
167004,293,0.013751994743264807,293,693,2.36518771331058,False
016010,288,0.013517319065052097,288,1815,6.302083333333333,False
011105,286,0.013423448793767013,286,33180,116.01398601398601,False
084099,276,0.012954097437341595,276,499,1.8079710144927537,False
011030,271,0.012719421759128885,271,18363,67.76014760147602,False
051085,257,0.012062329860133296,257,403,1.5680933852140078,False
018072,256,0.012015394724490754,256,30187,117.91796875,False
018106,242,0.011358302825495166,242,4376,18.082644628099175,False
087037,231,0.010842016333427204,231,1174,5.082251082251083,False
022053,223,0.010466535248286868,223,2133,9.565022421524663,False
084042,223,0.010466535248286868,223,631,2.8295964125560538,False
124139,222,0.010419600112644326,222,257,1.1576576576576576,False
019080,219,0.0102787947057167,219,8052,36.76712328767123,False
022043,215,0.010091054163146531,215,8468,39.38604651162791,False
012025,209,0.00980944334929128,209,33238,159.0334928229665,False
032040,195,0.009152351450295691,195,4054,20.78974358974359,False
124260,193,0.009058481179010607,193,750,3.8860103626943006,False
012053,192,0.009011546043368065,192,45713,238.08854166666666,False
012019,190,0.00891767577208298,190,16811,88.47894736842105,False
087004,189,0.008870740636440439,189,477,2.5238095238095237,False
012040,188,0.008823805500797897,188,28255,150.29255319148936,False
015171,186,0.008729935229512813,186,44549,239.51075268817203,False
018073,183,0.008589129822585187,183,66205,361.775956284153,False
022199,174,0.008166713601802308,174,2096,12.045977011494253,False
141136,166,0.007791232516661973,166,335,2.0180722891566263,False
202022,163,0.007650427109734347,163,1705,10.460122699386503,False
124255,159,0.007462686567164179,159,159,1.0,False
022009,151,0.007087205482023843,151,3898,25.814569536423843,False
204082,150,0.007040270346381301,150,607,4.046666666666667,False
011013,147,0.006899464939453675,147,5187,35.285714285714285,False
012017,144,0.006758659532526049,144,100727,699.4930555555555,False
031006,142,0.006664789261240965,142,15955,112.35915492957747,False
012014,138,0.006477048718670797,138,32881,238.268115942029,False
202068,135,0.006336243311743171,135,563,4.17037037037037,False
087002,131,0.006148502769173003,131,276,2.1068702290076335,False
015181,128,0.006007697362245377,128,30252,236.34375,False
061040,128,0.006007697362245377,128,81924,640.03125,False
129079,127,0.005960762226602835,127,230,1.811023622047244,False
063014,126,0.005913827090960293,126,36247,287.6746031746032,False
018105,125,0.005866891955317751,125,120134,961.072,False
124261,121,0.005679151412747583,121,196,1.6198347107438016,False
018071,121,0.005679151412747583,121,125933,1040.7685950413222,False
167001,120,0.005632216277105041,120,219,1.825,False
051086,119,0.005585281141462499,119,140,1.1764705882352942,False
012062,119,0.005585281141462499,119,36120,303.52941176470586,False
014030,118,0.005538346005819957,118,10818,91.67796610169492,False
124232,117,0.005491410870177415,117,125,1.0683760683760684,False
011127,115,0.005397540598892331,115,15936,138.57391304347826,False
031149,115,0.005397540598892331,115,5244,45.6,False
018002,114,0.005350605463249789,114,3677,32.25438596491228,False
124235,110,0.005162864920679621,110,1352,12.290909090909091,False
013014,110,0.005162864920679621,110,14795,134.5,False
031047,109,0.005115929785037079,109,16701,153.22018348623854,False
167006,108,0.005068994649394537,108,194,1.7962962962962963,False
011115,107,0.005022059513751995,107,30653,286.4766355140187,False
018428,105,0.004928189242466911,105,47000,447.6190476190476,False
201026,105,0.004928189242466911,105,680,6.476190476190476,False
142003,104,0.004881254106824369,104,916,8.807692307692308,False
204051,103,0.004834318971181827,103,1238,12.019417475728156,False
143022,102,0.0047873838355392846,102,1358,13.313725490196079,False
012037,101,0.0047404486998967425,101,6343,62.801980198019805,False
018023,99,0.0046465784286116585,99,6682,67.4949494949495,False
124116,97,0.0045527081573265744,97,102,1.0515463917525774,False
202073,97,0.0045527081573265744,97,155,1.597938144329897,False
031045,97,0.0045527081573265744,97,16569,170.81443298969072,False
143020,97,0.0045527081573265744,97,1017,10.484536082474227,False
204030,96,0.004505773021684032,96,703,7.322916666666667,False
012068,96,0.004505773021684032,96,14970,155.9375,False
011024,94,0.004411902750398948,94,10668,113.48936170212765,False
091135,91,0.004271097343471322,91,171,1.879120879120879,False
091013,89,0.004177227072186238,89,143,1.6067415730337078,False
167003,89,0.004177227072186238,89,342,3.842696629213483,False
174006,88,0.004130291936543696,88,257,2.9204545454545454,False
202044,86,0.004036421665258612,86,696,8.093023255813954,False
167005,85,0.00398948652961607,85,171,2.011764705882353,False
065037,85,0.00398948652961607,85,16558,194.8,False
018092,85,0.00398948652961607,85,458,5.3882352941176475,False
015018,84,0.003942551393973529,84,40248,479.14285714285717,False
202062,83,0.0038956162583309866,83,353,4.253012048192771,False
031156,80,0.0037548108514033605,80,3290,41.125,False
018091,79,0.0037078757157608185,79,472,5.974683544303797,False
018095,79,0.0037078757157608185,79,439,5.556962025316456,False
011009,79,0.0037078757157608185,79,3460,43.79746835443038,False
092073,79,0.0037078757157608185,79,108,1.3670886075949367,False
124264,78,0.0036609405801182764,78,156,2.0,False
018094,78,0.0036609405801182764,78,466,5.9743589743589745,False
014000,77,0.0036140054444757344,77,4803,62.37662337662338,False
016024,75,0.0035201351731906504,75,335,4.466666666666667,False
012016,74,0.0034732000375481084,74,7560,102.16216216216216,False
124244,74,0.0034732000375481084,74,74,1.0,False
169003,72,0.0033793297662630243,72,249,3.4583333333333335,False
018086,70,0.0032854594949779407,70,19752,282.1714285714286,False
146043,70,0.0032854594949779407,70,6161,88.01428571428572,False
018093,70,0.0032854594949779407,70,450,6.428571428571429,False
011000,70,0.0032854594949779407,70,4396,62.8,False
203025,68,0.0031915892236928567,68,642,9.441176470588236,False
041085,68,0.0031915892236928567,68,136,2.0,False
091159,67,0.0031446540880503146,67,123,1.835820895522388,False
051106,65,0.0030507838167652306,65,66,1.0153846153846153,False
143124,63,0.0029569135454801465,63,330,5.238095238095238,False
142008,63,0.0029569135454801465,63,591,9.380952380952381,False
018018,62,0.0029099784098376045,62,5972,96.3225806451613,False
093002,61,0.0028630432741950625,61,97,1.5901639344262295,False
062016,61,0.0028630432741950625,61,21885,358.7704918032787,False
013070,61,0.0028630432741950625,61,3840,62.950819672131146,False
142004,60,0.0028161081385525205,60,556,9.266666666666667,False
013071,60,0.0028161081385525205,60,3680,61.333333333333336,False
041066,59,0.0027691730029099785,59,89,1.5084745762711864,False
013069,59,0.0027691730029099785,59,3600,61.016949152542374,False
74P,58,0.0027222378672674364,58,5340,92.06896551724138,False
143121,58,0.0027222378672674364,58,332,5.724137931034483,False
014024,58,0.0027222378672674364,58,3580,61.724137931034484,False
143122,58,0.0027222378672674364,58,330,5.689655172413793,False
083134,57,0.0026753027316248944,57,17576,308.35087719298247,False
069002,56,0.0026283675959823524,56,326,5.821428571428571,False
061012,56,0.0026283675959823524,56,6271,111.98214285714286,False
091234,56,0.0026283675959823524,56,80,1.4285714285714286,False
1836BR,55,0.0025814324603398104,55,6143,111.69090909090909,False
072090,54,0.0025344973246972683,54,79098,1464.7777777777778,False
204065,53,0.0024875621890547263,53,788,14.867924528301886,False
143123,53,0.0024875621890547263,53,330,6.226415094339623,False
18428,52,0.0024406270534121843,52,33480,643.8461538461538,False
012048,51,0.0023936919177696423,51,4830,94.70588235294117,False
023080,51,0.0023936919177696423,51,1918,37.6078431372549,False
032088,50,0.0023467567821271003,50,1556,31.12,False
143125,50,0.0023467567821271003,50,330,6.6,False
124252,50,0.0023467567821271003,50,59,1.18,False
031124,49,0.0022998216464845582,49,7568,154.44897959183675,False
192032,49,0.0022998216464845582,49,108,2.204081632653061,False
201027,49,0.0022998216464845582,49,722,14.73469387755102,False
167002,49,0.0022998216464845582,49,81,1.653061224489796,False
051204,47,0.002205951375199474,47,59,1.2553191489361701,False
061010,47,0.002205951375199474,47,15849,337.21276595744683,False
091045,46,0.002159016239556932,46,51,1.108695652173913,False
015180,46,0.002159016239556932,46,552,12.0,False
071039,45,0.00211208110391439,45,2471,54.91111111111111,False
013046,45,0.00211208110391439,45,8172,181.6,False
012055,45,0.00211208110391439,45,4240,94.22222222222223,False
071009,45,0.00211208110391439,45,5476,121.68888888888888,False
093010,45,0.00211208110391439,45,59,1.3111111111111111,False
126073,45,0.00211208110391439,45,44050,978.8888888888889,False
051109,45,0.00211208110391439,45,58,1.288888888888889,False
013013,45,0.00211208110391439,45,8664,192.53333333333333,False
041068,45,0.00211208110391439,45,78,1.7333333333333334,False
093082,43,0.002018210832629306,43,43,1.0,False
015168,43,0.002018210832629306,43,3060,71.16279069767442,False
011107,43,0.002018210832629306,43,8955,208.25581395348837,False
014023,42,0.0019712756969867645,42,3144,74.85714285714286,False
019056,42,0.0019712756969867645,42,8028,191.14285714285714,False
017012,42,0.0019712756969867645,42,3408,81.14285714285714,False
