owner,article,transaction_frequency,total_quantity
14,061048,4,456.0
14,065000,4,400.0
14,122014,4,341.0
14,071016,4,198.0
14,123063,4,181.0
14,061009,4,138.0
14,103116,4,121.0
14,083117,4,104.0
14,126093,4,84.0
14,103127,4,81.0
14,103075,4,74.0
14,103130,4,74.0
14,114013,4,53.0
14,124207,4,47.0
14,102507,4,44.0
14,133053,4,43.0
14,132003,4,40.0
14,129078,4,37.0
14,103102,4,35.0
14,109071,4,33.0
14,103111,4,26.0
14,113046,4,24.0
14,112024,4,22.0
14,204000,4,21.0
14,103156,4,12.0
14,113064,4,9.0
14,022053,4,8.0
14,132050,4,7.0
14,087036,4,4.0
14,014030,3,1439.0
14,123036,3,490.0
14,146088,3,148.0
14,126070,3,90.0
14,103114,3,89.0
14,103115,3,74.0
14,133082,3,58.0
14,204038,3,52.0
14,102208,3,49.0
14,103119,3,43.0
14,124204,3,43.0
14,101001,3,42.0
14,109025,3,41.0
14,124205,3,41.0
14,103117,3,40.0
14,124211,3,39.0
14,124206,3,37.0
14,124209,3,33.0
14,103079,3,29.0
14,083126,3,27.0
14,102510,3,26.0
14,109023,3,24.0
14,109026,3,24.0
14,102494,3,18.0
14,112027,3,16.0
14,102074,3,11.0
14,084015,3,10.0
14,022055,3,9.0
14,167009,3,6.0
14,169003,3,6.0
14,034051,3,3.0
14,092146,3,3.0
14,146042,2,254.0
14,106299,2,200.0
14,064003,2,102.0
14,133049,2,101.0
14,065009,2,96.0
14,106008,2,87.0
14,061014,2,81.0
14,061031,2,77.0
14,031004,2,76.0
14,102497,2,74.0
14,018072,2,72.0
14,102500,2,72.0
14,182151,2,72.0
14,031126,2,60.0
14,065029,2,58.0
14,106298,2,58.0
14,102188,2,55.0
14,107061,2,54.0
14,031019,2,53.0
14,127020,2,51.0
14,062041,2,48.0
14,102499,2,40.0
14,107054,2,40.0
14,103086,2,39.0
14,102209,2,38.0
14,031061,2,36.0
14,071013,2,36.0
14,106028,2,35.0
14,081001,2,33.0
14,131117,2,32.0
14,103120,2,31.0
14,107046,2,30.0
14,102506,2,29.0
14,107049,2,28.0
14,103118,2,27.0
14,107051,2,25.0
14,124208,2,25.0
14,031053,2,24.0
14,071047,2,24.0
14,132026,2,23.0
14,102207,2,21.0
14,107052,2,21.0
14,143001,2,20.0
14,106027,2,19.0
14,109011,2,19.0
14,084032,2,17.0
14,107047,2,17.0
14,101002,2,14.0
14,106029,2,14.0
14,107048,2,14.0
14,102071,2,12.0
14,104003,2,11.0
14,112019,2,10.0
14,107050,2,8.0
14,142033,2,8.0
14,145063,2,8.0
14,109013,2,7.0
14,145036,2,7.0
14,103149,2,6.0
14,109012,2,6.0
14,109020,2,6.0
14,113052,2,6.0
14,154019,2,6.0
14,107069,2,5.0
14,145064,2,5.0
14,152110,2,5.0
14,107072,2,4.0
14,054089,2,3.0
14,102524,2,3.0
14,103986,2,3.0
14,107004,2,3.0
14,023090,2,2.0
14,084028,2,2.0
14,091219,2,2.0
14,092147,2,2.0
14,102160,2,2.0
14,112030,2,2.0
14,128067,2,2.0
14,154024,2,2.0
14,174094,2,2.0
14,181173,2,2.0
14,146023,1,1787.62
14,141063,1,490.0
14,106035,1,250.0
14,018007,1,240.0
14,071129,1,240.0
14,121494,1,208.0
14,072048,1,200.0
14,122021,1,200.0
14,131118,1,176.0
14,123055,1,153.0
14,189022,1,135.0
14,042093,1,128.0
14,062026,1,120.0
14,121040,1,111.0
14,061007,1,81.0
14,065066,1,64.0
14,052005,1,60.0
14,062016,1,49.0
14,061044,1,48.0
14,134010,1,45.0
14,031099,1,42.0
14,142018,1,41.0
14,124203,1,39.0
14,129088,1,38.0
14,107055,1,36.0
14,129086,1,36.0
14,124216,1,34.0
14,124210,1,33.0
14,061029,1,31.0
14,071062,1,30.0
14,065008,1,28.0
14,102180,1,27.0
14,061020,1,25.0
14,011014,1,24.0
14,012012,1,24.0
14,031047,1,24.0
14,061046,1,24.0
14,065083,1,24.0
14,071152,1,24.0
14,074034,1,24.0
14,079004,1,24.0
14,189020,1,20.227
14,084446,1,20.0
14,102503,1,20.0
14,102158,1,19.0
14,042024,1,18.0
14,016011,1,17.0
14,042028,1,17.0
14,133064,1,17.0
14,061011,1,16.0
14,061028,1,16.0
14,107059,1,16.0
14,109078,1,16.0
14,131133,1,16.0
14,031003,1,15.0
14,102514,1,15.0
14,084010,1,14.0
14,161031,1,14.0
14,071091,1,13.0
14,103112,1,13.0
14,103143,1,13.0
14,107063,1,13.0
14,121017,1,13.0
14,121065,1,13.0
14,032015,1,12.0
14,042031,1,12.0
14,061021,1,12.0
14,061042,1,12.0
14,061045,1,12.0
14,062001,1,12.0
14,103082,1,12.0
14,121016,1,12.0
14,042025,1,11.0
14,103095,1,11.0
14,143013,1,11.0
14,042026,1,10.0
14,042027,1,10.0
14,042029,1,10.0
14,081002,1,10.0
14,084035,1,10.0
14,103144,1,10.0
14,109090,1,10.0
14,071125,1,9.0
14,33005,1,9.0
14,089006,1,8.0
14,106033,1,8.0
14,032001,1,7.0
14,062019,1,7.0
14,083045,1,7.0
14,102498,1,7.0
14,103037,1,7.0
14,107062,1,7.0
14,145068,1,7.0
14,183057,1,7.0
14,032020,1,6.0
14,041016,1,6.0
14,052003,1,6.0
14,054020,1,6.0
14,061047,1,6.0
14,062020,1,6.0
14,071015,1,6.0
14,072100,1,6.0
14,074026,1,6.0
14,086030,1,6.0
14,106034,1,6.0
14,124212,1,6.0
14,145081,1,6.0
14,147004,1,6.0
14,147008,1,6.0
14,172004,1,6.0
14,041045,1,5.0
14,063009,1,5.0
14,102513,1,5.0
14,107020,1,5.0
14,109019,1,5.0
14,142032,1,5.0
14,143012,1,5.0
14,143098,1,5.0
14,143101,1,5.0
14,144014,1,5.0
14,021009,1,4.0
14,032030,1,4.0
14,053017,1,4.0
14,071105,1,4.0
14,074013,1,4.0
14,084013,1,4.0
14,086028,1,4.0
14,086029,1,4.0
14,102150,1,4.0
14,105001,1,4.0
14,107089,1,4.0
14,109024,1,4.0
14,109091,1,4.0
14,114018,1,4.0
14,143097,1,4.0
14,021000,1,3.0
14,041098,1,3.0
14,042030,1,3.0
14,092011,1,3.0
14,102073,1,3.0
14,102217,1,3.0
14,103148,1,3.0
14,104000,1,3.0
14,104001,1,3.0
14,105004,1,3.0
14,109014,1,3.0
14,112037,1,3.0
14,129074,1,3.0
14,129075,1,3.0
14,143008,1,3.0
14,145074,1,3.0
14,147000,1,3.0
14,147023,1,3.0
14,152107,1,3.0
14,152109,1,3.0
14,152111,1,3.0
14,189021,1,3.0
14,031008,1,2.0
14,033018,1,2.0
14,041089,1,2.0
14,042008,1,2.0
14,042052,1,2.0
14,042061,1,2.0
14,052016,1,2.0
14,053005,1,2.0
14,054006,1,2.0
14,054016,1,2.0
14,054022,1,2.0
14,081013,1,2.0
14,084012,1,2.0
14,085012,1,2.0
14,086115,1,2.0
14,086166,1,2.0
14,093056,1,2.0
14,097007,1,2.0
14,097008,1,2.0
14,102072,1,2.0
14,102075,1,2.0
14,102076,1,2.0
14,102080,1,2.0
14,102083,1,2.0
14,102101,1,2.0
14,102102,1,2.0
14,102104,1,2.0
14,102105,1,2.0
14,102149,1,2.0
14,102218,1,2.0
14,102219,1,2.0
14,102512,1,2.0
14,103030,1,2.0
14,103142,1,2.0
14,104002,1,2.0
14,104005,1,2.0
14,104006,1,2.0
14,105002,1,2.0
14,105005,1,2.0
14,106294,1,2.0
14,107019,1,2.0
14,107053,1,2.0
14,109074,1,2.0
14,109075,1,2.0
14,109092,1,2.0
14,111038,1,2.0
14,112036,1,2.0
14,113056,1,2.0
14,113057,1,2.0
14,113058,1,2.0
14,142026,1,2.0
14,142035,1,2.0
14,145037,1,2.0
14,145076,1,2.0
14,147017,1,2.0
14,147018,1,2.0
14,147024,1,2.0
14,152022,1,2.0
14,152113,1,2.0
14,152118,1,2.0
14,152121,1,2.0
14,161057,1,2.0
14,162004,1,2.0
14,202052,1,2.0
14,206063,1,2.0
14,023003,1,1.0
14,031114,1,1.0
14,032065,1,1.0
14,033043,1,1.0
14,043020,1,1.0
14,044078,1,1.0
14,044089,1,1.0
14,049032,1,1.0
