article_a,article_b,shared_transactions,joint_support,support_a,support_b,confidence_a_b,confidence_b_a,balanced_confidence,lift,leverage,conviction_a_b,conviction_b_a,jaccard_similarity,cosine_similarity,weighted_shared_quantity,weighted_cosine_similarity,popularity_penalty_factor,periods_present,support_mean,support_std,lift_mean,lift_std,balanced_confidence_mean,shared_transactions_mean,support_stability,lift_stability,periods_available,presence_ratio,temporal_stability_score,joint_frequency_component,lift_component,balanced_confidence_component,similarity_component,weighted_volume_component,temporal_stability_component,operational_relevance_factor,final_layout_score,proximity_recommendation
022009,031006,93,0.004403409090909091,0.007149621212121212,0.006723484848484848,0.6158940397350994,0.6549295774647887,0.6348122866894198,91.6033952056711,0.004355338721016988,2.5859440308254964,2.877239873222016,0.465,0.6351119769039082,2696.0,0.3418617930933194,0.9859023433853047,21,0.00428602295412172,0.002229221006053116,113.65508765620572,42.66753288365652,0.6461699536044235,13.714285714285714,0.6633149820388093,0.7318688530647589,21,1.0,0.8319617078778325,0.7573500295185125,0.6305114845056058,0.7927920079895215,0.48065792333240925,0.7785584675806825,0.8319617078778325,1.0,0.721045176817749,very_high
014012,014014,248,0.011742424242424242,0.03858901515151515,0.021922348484848486,0.3042944785276074,0.5356371490280778,0.3881064162754304,13.880560230028221,0.010896462404585628,1.4058788112607556,2.070387376673714,0.2407766990291262,0.4037219673779385,18101.0,0.3592383780904378,0.9283516483516484,21,0.011706944905273745,0.0027638074986401215,14.733291965526522,5.505697176273664,0.38378586004996124,37.285714285714285,0.812748346493475,0.732769844428575,21,1.0,0.8770169650551862,0.9197384968969015,0.36714230193945246,0.4846907842272923,0.3345790148325008,0.9661918084896784,0.8770169650551862,1.0,0.6677923302065149,very_high
023080,031124,48,0.0022727272727272726,0.002414772727272727,0.0023200757575757578,0.9411764705882353,0.9795918367346939,0.9600000000000002,405.6662665066026,0.002267124817062672,16.96055871212121,48.88167613636358,0.9230769230769231,0.9601920576192067,1885.0,0.49476217658755867,0.995193666949392,18,0.0026560560239029586,0.0005698878028460313,380.9896382627125,106.30621593718797,0.9775492676941953,8.38888888888889,0.8274608041107788,0.7866799083445745,21,0.8571428571428571,0.8306225040336629,0.6487517008927517,0.838203141478945,1.0,0.7926770524278961,0.7433078434432296,0.8306225040336629,0.7314285714285714,0.571886787742262,high
011026,014012,132,0.00625,0.020359848484848484,0.03858901515151515,0.30697674418604654,0.1619631901840491,0.21204819277108433,7.955029248109574,0.00546433349833563,1.3872708841773438,1.1689703125693243,0.11859838274932614,0.22297742666172474,7440.584,0.19501826680003656,0.9283516483516484,20,0.006183095032418154,0.004178037448886574,8.872546606046782,3.2433294691823775,0.18792274938602038,20.2,0.6029145498611118,0.737305020605929,21,0.9523809523809523,0.7937720486812444,0.8152026742944608,0.2894447408621954,0.264818618137088,0.17886469207036249,0.8785842233595392,0.7937720486812444,0.9714285714285714,0.5429154267120958,high
087002,087004,81,0.0038352272727272727,0.006202651515151515,0.008948863636363637,0.6183206106870229,0.42857142857142855,0.50625,69.09487459105779,0.0037797205901342976,2.5965539772727277,1.739145359848485,0.3389121338912134,0.5147762110250391,146.0,0.4023825376684285,0.982416969020374,16,0.00455667296667199,0.001993601783352677,96.95813079263637,69.17911753209616,0.5820767306993966,15.6875,0.7024347657628578,0.5914226014987414,21,0.7619047619047619,0.7014432229606855,0.7345834052017801,0.5911539235886553,0.6322356426618049,0.4186902941948936,0.49182215566154686,0.7014432229606855,0.8571428571428571,0.5299802334127861,high
065072,126105,402,0.01903409090909091,0.02911931818181818,0.023058712121212122,0.6536585365853659,0.8254620123203286,0.7295825771324864,28.347573496268847,0.018362636933970385,2.8207459720443877,5.56257520053476,0.5742857142857143,0.7345544846913108,19040.6,0.24578798031191035,0.94496644295302,11,0.02589341601470746,0.01095063258675157,26.500004107546488,23.44085378679303,0.6899408778340788,109.63636363636364,0.712641227543995,0.5424772625843034,21,0.5238095238095238,0.5851259696235601,1.0,0.46680388846428333,0.9111468830186932,0.5182093930963118,0.9711789485779002,0.5851259696235601,0.7142857142857143,0.5260282770042375,high
022043,031045,92,0.004356060606060606,0.010179924242424242,0.00459280303030303,0.42790697674418604,0.9484536082474226,0.5897435897435898,93.1690242148166,0.004309306219151745,1.7399394093372753,19.202509469696956,0.41818181818181815,0.6370635102462464,3788.0,0.3197947992871854,0.9800464037122971,13,0.005429052241634115,0.0019135418864105107,100.3097197375248,52.745938054423775,0.635288745274041,21.076923076923077,0.7470291638694869,0.6643627139216759,21,0.6190476190476191,0.6687708562126937,0.755567165338119,0.6328768049630719,0.7365074912932708,0.45834670923841664,0.8120627548336063,0.6687708562126937,0.7714285714285715,0.5231236388750775,high
016010,061016,73,0.003456439393939394,0.013589015151515152,0.01737689393939394,0.25435540069686413,0.1989100817438692,0.22324159021406728,14.637564203590655,0.003220304518910698,1.3178169693429624,1.2313361613584828,0.12564543889845095,0.22493077500557332,366.0,0.0273188923736945,0.9664134712180837,20,0.004452562537312326,0.0018959680505086672,16.980323486068933,5.8437692018199785,0.2688297412657867,12.0,0.7066972233987834,0.7488194467106093,21,0.9523809523809523,0.8277854572687158,0.717471346589383,0.3745538190338577,0.27879761038584516,0.12596503542590626,0.5819911888533098,0.8277854572687158,0.9714285714285714,0.5160887177976793,high
022053,032040,107,0.0050662878787878785,0.010558712121212122,0.009232954545454546,0.4798206278026906,0.5487179487179488,0.5119617224880383,51.96826491893756,0.004968799769714187,1.9046642339341695,2.192511944731405,0.3440514469453376,0.5131142081841534,1202.0,0.4087588491752962,0.9793192988964111,14,0.006404670877453564,0.0035667612724272777,58.17303658951165,44.93432124269818,0.5367615811274529,22.642857142857142,0.6507695480042947,0.5732868143560078,21,0.6666666666666666,0.6385525679902904,0.7804935389423165,0.5513972527833475,0.6393687874280879,0.4219748347682624,0.6989944926659634,0.6385525679902904,0.8,0.5108554057868976,high
022043,031047,101,0.004782196969696969,0.010179924242424242,0.005160984848484849,0.4697674418604651,0.926605504587156,0.6234567901234568,91.02282910177084,0.004729658534923094,1.8762314759436471,13.486298532196969,0.452914798206278,0.659764425764025,4008.0,0.3370280519829776,0.9800464037122971,12,0.007128103911647438,0.005280957558506941,79.58087172004817,30.798371117780647,0.620412957868567,24.833333333333332,0.58502675172283,0.7296441005498925,21,0.5714285714285714,0.6150619077971792,0.7709654478798899,0.6296240876640536,0.7786105765443353,0.4832357586510936,0.8176250573464396,0.6150619077971792,0.7428571428571429,0.50595897512838,high
