granularity,period,transactions,avg_basket_size,series_type,article_a,article_b,period_label,period_transaction_count,shared_transactions,joint_support,lift,balanced_confidence,jaccard_similarity,cosine_similarity
basket_size_distribution,15,33.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,16,24.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,17,18.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,18,16.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,19,21.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,20,22.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,21,16.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,22,11.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,23,7.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,24,3.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,25,7.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,26,7.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,27,6.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,28,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,29,4.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,30,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,31,3.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,32,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,33,5.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,34,3.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,35,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,36,3.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,37,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,38,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,39,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,40,4.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,41,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,42,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,43,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,44,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,45,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,47,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,49,3.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,50,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,55,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,59,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,60,2.0,,aggregate_transactions,,,,,,,,,,
