pasillo_destino,propietario,owner_name,rangos_suelo,rangos_fisicos,posicion_desde_global,posicion_hasta_global,posiciones_totales
10,24,MCC MADRID,001-007 (suelo_300) | 011-027 (suelo_300) | 028-042 (suelo_250) | 047-066 (suelo_250) | 067-072 (suelo_126) | 078-090 (suelo_126) | 092-093 (balda_9h) | 101-108 (normal),impar:001-013 | impar:021-053 | impar:055-083 | impar:093-107 | par:002-024 | par:026-036 | par:048-072 | par:076-078 | par:094-108,1,108,88
11,7,CERVECISTAS,024-024 (suelo_300) | 060-060 (suelo_250) | 081-081 (suelo_126) | 093-093 (balda_9h) | 102-102 (normal),impar:047 | par:012 | par:054 | par:078 | par:096,24,102,5
11,24,MCC MADRID,012-018 (suelo_300) | 047-055 (suelo_250) | 071-077 (suelo_126) | 092-092 (balda_9h) | 097-098 (normal),impar:023-035 | impar:093-107 | par:002 | par:034-046 | par:076 | par:086-088,12,98,26
11,32,MCC CENTRO - OESTE,009-011 (suelo_300) | 022-023 (suelo_300) | 044-046 (suelo_250) | 057-059 (suelo_250) | 070-070 (suelo_126) | 079-080 (suelo_126) | 091-091 (balda_9h) | 101-101 (normal),impar:017-021 | impar:043-045 | impar:087-091 | par:006-010 | par:032 | par:050-052 | par:074 | par:094,9,101,16
11,33,IPA,025-030 (suelo_300) | 061-069 (suelo_250) | 082-090 (suelo_126) | 094-096 (balda_9h) | 103-108 (normal),impar:049-059 | par:014-030 | par:056-072 | par:080-084 | par:098-108,25,108,33
11,46,REFEEL,099-099 (normal),par:090,99,99,1
11,74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,001-001 (suelo_300) | 019-019 (suelo_300) | 031-035 (suelo_250) | 056-056 (suelo_250) | 078-078 (suelo_126) | 100-100 (normal),impar:001 | impar:037 | impar:061-069 | par:004 | par:048 | par:092,1,100,10
11,76,UNIDAD INTERNACIONAL MARKETING,002-008 (suelo_300) | 020-021 (suelo_300) | 036-043 (suelo_250),impar:003-015 | impar:039-041 | impar:071-085,2,43,17
12,21,MIXTA,034-034 (suelo_250) | 056-056 (suelo_126),impar:067 | par:004,34,56,2
12,33,IPA,052-052 (suelo_126),impar:103,52,52,1
12,37,ALHAMBRA CORPORATIVO,007-007 (suelo_300) | 024-027 (suelo_250) | 031-031 (suelo_250) | 073-073 (normal),impar:013 | impar:047-053 | impar:061 | par:038,7,73,7
12,49,MAHOU - SANDRINE GIRAUD,009-009 (suelo_300) | 033-033 (suelo_250) | 055-055 (suelo_126) | 070-070 (balda_9h),impar:017 | impar:065 | par:002 | par:032,9,70,4
12,51,MCC BILBAO,003-003 (suelo_300) | 075-075 (normal),impar:005 | par:042,3,75,2
12,60,MARCOS CELEIRO,010-018 (suelo_300) | 035-048 (suelo_250) | 057-069 (suelo_126) | 071-072 (balda_9h) | 076-084 (normal),impar:019-035 | impar:069-095 | par:006-030 | par:034-036 | par:044-060,10,84,47
12,71,BUDWEISER,001-002 (suelo_300) | 004-005 (suelo_300) | 019-022 (suelo_250) | 028-028 (suelo_250) | 049-049 (suelo_126),impar:001-003 | impar:007-009 | impar:037-043 | impar:055 | impar:097,1,49,10
12,72,LA SALVE,008-008 (suelo_300) | 032-032 (suelo_250) | 053-054 (suelo_126) | 074-074 (normal),impar:015 | impar:063 | impar:105-107 | par:040,8,74,5
12,80,ABI HORECA,006-006 (suelo_300) | 023-023 (suelo_250) | 029-030 (suelo_250) | 050-051 (suelo_126),impar:011 | impar:045 | impar:057-059 | impar:099-101,6,51,6
