propietario,capacidad_actual,externo_soportado,externo_inferido,revision_manual,delta_total
23,388.94444444444446,3.7,18.555555555555557,0.0,22.255555555555556
3,844.5555555555555,353.4280718109187,154.9560185185185,0.0,508.3840903294372
24,542.9444444444445,3.8076923076923075,66.81481481481481,0.0,70.62250712250712
4,398.8888888888889,0.0,8.703703703703706,0.0,8.703703703703706
29,115.83333333333333,109.84910677089387,2932.0694444444416,0.0,3041.9185512153354
82,184.5,0.0,0.8333333333333333,0.0,0.8333333333333333
5,339.3333333333333,3.191626092691072,3.1875,0.0,6.379126092691072
30,93.44444444444444,0.0,3.333333333333333,0.0,3.333333333333333
33,0.0,167.77210580158962,1688.8773148148143,0.0,1856.6494206164039
14,173.33333333333334,0.46186778239826354,11.5,0.0,11.961867782398263
62,86.55555555555556,0.0,0.5,0.0,0.5
89,50.888888888888886,0.0,0.0,0.0,0.0
61,28.38888888888889,103.69952526186778,1440.5659722222222,0.0,1544.26549748409
7,0.0,22.8631718100187,162.14351851851848,0.0,185.00669032853716
32,29.166666666666668,42.782669819156,547.2743055555555,0.0,590.0569753747116
96,351.22222222222223,0.22580645161290322,0.0,0.0,0.22580645161290322
34,187.61111111111111,11.688888888888888,0.0,0.0,11.688888888888888
6,56.05555555555556,0.0,0.0,0.0,0.0
64,86.33333333333333,69.97423132423133,1208.1921296296302,0.0,1278.1663609538616
49,16.0,0.0,0.0,0.0,0.0
95,162.66666666666666,0.0,0.0,0.0,0.0
71,24.11111111111111,9.183819871105094,199.79629629629628,0.0,208.98011616740138
77,36.22222222222222,146.28119562867283,510.519675925926,0.0,656.8008715545989
90,17.0,0.0,0.10185185185185185,0.0,0.10185185185185185
80,26.944444444444443,1.0,0.0,0.0,1.0
98,80.5,0.0,0.0,0.0,0.0
86,30.11111111111111,0.0,0.0,0.0,0.0
76,68.66666666666667,0.0,0.0,0.0,0.0
72,20.61111111111111,0.0,0.0,0.0,0.0
74,37.611111111111114,0.5,0.0,0.0,0.5
79,15.0,0.0,0.0,0.0,0.0
60,0.0,0.0,46.29861111111111,0.0,46.29861111111111
21,6.111111111111111,0.0,0.0,0.0,0.0
12,35.5,0.0,0.0,0.0,0.0
51,5.0,0.0,0.0,0.0,0.0
46,2.0,0.0,0.0,0.0,0.0
37,20.5,2.0,9.00578703703704,0.0,11.00578703703704
sin_asignacion_segura,8.0,0.0,0.0,0.0,0.0
