propietario,ranking_operativo,pasillo_principal,pasillo_secundario,tipo_asignacion,escenario,soporte_asignacion,justificacion
30,0.2556,,,split_contiguo,condicionado,ranking=0.256; demanda_90=107.5,"propietario priorizado por salidas históricas, volumen y capacidad"
33,0.2147,,,split_contiguo,condicionado,ranking=0.215; demanda_90=2062.9,"propietario priorizado por salidas históricas, volumen y capacidad"
14,0.1035,,,split_contiguo,condicionado,ranking=0.103; demanda_90=205.9,"propietario priorizado por salidas históricas, volumen y capacidad"
62,0.1032,,,split_contiguo,condicionado,ranking=0.103; demanda_90=96.7,"propietario priorizado por salidas históricas, volumen y capacidad"
89,0.0981,,,split_contiguo,condicionado,ranking=0.098; demanda_90=56.5,"propietario priorizado por salidas históricas, volumen y capacidad"
61,0.0971,,,split_contiguo,condicionado,ranking=0.097; demanda_90=1747.4,"propietario priorizado por salidas históricas, volumen y capacidad"
7,0.091,,,split_contiguo,condicionado,ranking=0.091; demanda_90=205.6,"propietario priorizado por salidas históricas, volumen y capacidad"
32,0.0804,,,split_contiguo,condicionado,ranking=0.080; demanda_90=688.0,"propietario priorizado por salidas históricas, volumen y capacidad"
96,0.0785,,,split_contiguo,condicionado,ranking=0.078; demanda_90=390.5,"propietario priorizado por salidas históricas, volumen y capacidad"
34,0.0761,,,split_contiguo,condicionado,ranking=0.076; demanda_90=221.4,"propietario priorizado por salidas históricas, volumen y capacidad"
6,0.0568,,,split_contiguo,condicionado,ranking=0.057; demanda_90=62.3,"propietario priorizado por salidas históricas, volumen y capacidad"
64,0.0466,,,split_contiguo,condicionado,ranking=0.047; demanda_90=1516.1,"propietario priorizado por salidas históricas, volumen y capacidad"
49,0.0436,,,split_contiguo,condicionado,ranking=0.044; demanda_90=17.8,"propietario priorizado por salidas históricas, volumen y capacidad"
95,0.0401,,,split_contiguo,condicionado,ranking=0.040; demanda_90=180.7,"propietario priorizado por salidas históricas, volumen y capacidad"
