escenario,ocupacion_objetivo,capacidad_util,demanda_actual,demanda_con_externo_soportado,demanda_con_externo_total,margen
base_90,0.9,6139.17,4570.555555555556,5622.965335177293,14636.194501843958,-97.71233517729252
stress_95,0.95,6139.17,4570.555555555556,5622.965335177293,14636.194501843958,-8803.983001843959
