ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
23102,64,64,1,TJ12003,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98275,4   JUNTO98257,4,1,90,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BD04601,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98013,14 VOLUNTARIA,14,16,BA02801,16,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
54025,7,7,14,BF10603,1,C,2.0,suelo_126,posicion_suelo,7.0,dimensión <= 126 cm; owner=prefijo_RESERVA
148087,4,4,1,AL104,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
154021,64,64,1,TJ07701,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
107008,33,33,2,BB13701,2,C,16.0,AM,posicion_rack,0.125,dimensión compatible con AM; owner=prefijo_RESERVA
51047,29,29,2,AI09902,2,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
172185,64,64,1,AV03804,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
83154,33,33,2,BB07302,2,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
91162,7,7,2,AZ00103,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
44023,32,32,6,BC13700,1,C,2.0,suelo_126,posicion_suelo,3.0,dimensión <= 126 cm; owner=prefijo_RESERVA
51146,29,29,1,AK14206,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98068,77,77,3,AJ10203,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
154013,64,64,1,AJ09507,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
12072,77,77,17,AV07110,17,A,475.0,EU,posicion_rack,0.035789473684210524,match_articulo_propietario; owner=prefijo_RESERVA
51326,7,7,1,AR07204,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
51166,7,7,1,AR07204,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98616,61,61,5,AZ02300,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,TJ06102,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
148083,4,4,4,AL104,1,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11017,77,77,35,AV07110,35,C,12.0,balda_9h,subhueco_balda,2.9166666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
103038,7,7,2,BB14402,2,B,173.0,EU,posicion_rack,0.011560693641618497,match_articulo; owner=prefijo_RESERVA
148061,37,37,5,AL104,1,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BB00804,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
91164,33,33,1,BA11004,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
14014,29,29,192,AZ13705,1,A,276.0,EU,posicion_rack,0.6956521739130435,match_articulo_propietario; owner=prefijo_RESERVA
121027,33,33,10,BA04603,10,C,12.0,balda_9h,subhueco_balda,0.8333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
121031,33,33,8,BA04603,8,C,12.0,balda_9h,subhueco_balda,0.6666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98264,61,61,168,TJ02201,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
61007,77,77,24,AV13508,2,B,782.0,EU,posicion_rack,0.030690537084398978,match_articulo; owner=prefijo_RESERVA
98195,61,61,120,AZ06805,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
123037,32,32,121,AK01803,121,C,12.0,balda_9h,subhueco_balda,10.083333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
103228,33,33,75,AV02102,1,C,12.0,balda_9h,subhueco_balda,6.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
122066,32,32,61,AV08302,1,C,2.0,suelo_126,posicion_suelo,30.5,dimensión <= 126 cm; owner=prefijo_RESERVA
92051,71,71,1,AT14502,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
86053,33,33,232,BA04603,232,C,12.0,balda_9h,subhueco_balda,19.333333333333332,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
86006,7,7,244,AZ13003,1,C,12.0,balda_9h,subhueco_balda,20.333333333333332,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
36040,29,29,1,AV00808,1,B,1.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA
124116,33,33,29,BB01401,1,C,12.0,balda_9h,subhueco_balda,2.4166666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
71059,32,32,39,AV10906,39,C,12.0,balda_9h,subhueco_balda,3.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98757,64,64,1,BA07500,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
145109,33,33,140,AZ12802,1,C,12.0,balda_9h,subhueco_balda,11.666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
105104,29,29,12,AV13702,12,C,12.0,balda_9h,subhueco_balda,1.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
148027,37,37,2,AL106,1,A,1.0,suelo_250,posicion_suelo,2.0,match_articulo_propietario; owner=prefijo_RESERVA
91031,33,33,1,AL04702,1,C,6.0,EU,posicion_rack,0.16666666666666666,dimensión compatible con EU; owner=prefijo_RESERVA
31141,7,7,12,AZ06804,1,C,2.0,suelo_126,posicion_suelo,6.0,dimensión <= 126 cm; owner=prefijo_RESERVA
121032,33,33,13,BA04603,13,C,12.0,balda_9h,subhueco_balda,1.0833333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98893,64,64,12,AZ01902,12,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
1593V,61,61,3,AZ09605,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
42115,29,29,10,BC09603,1,C,2.0,suelo_126,posicion_suelo,5.0,dimensión <= 126 cm; owner=prefijo_RESERVA
71090,61,61,6,TJ13000,6,B,228.0,EU,posicion_rack,0.02631578947368421,match_articulo; owner=prefijo_RESERVA
14012,29,29,1056,AZ10104,1,A,120.0,EU,posicion_rack,8.8,match_articulo_propietario; owner=prefijo_RESERVA
192046,33,33,4000,AQ08102,1,C,12.0,balda_9h,subhueco_balda,333.3333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AU14604,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
202011,61,61,1,TJ02700,1,B,6.0,AM,posicion_rack,0.16666666666666666,match_articulo; owner=prefijo_RESERVA
133094,32,32,252,AK01803,252,C,12.0,balda_9h,subhueco_balda,21.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
121059,4,4,99,AL102,99,C,12.0,balda_9h,subhueco_balda,8.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11024,77 CANADAS,77,87,AO03604,87,A,72.0,EU,posicion_rack,1.2083333333333333,match_articulo_propietario; owner=prefijo_RESERVA
152169,64,64,3,AV08309,3,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
71124,7,7,216,AV01204,1,C,12.0,balda_9h,subhueco_balda,18.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AK14206,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
11013,61 CAMION123,61,132,AH15003,1,A,48.0,balda_9h,subhueco_balda,2.75,match_articulo_propietario; owner=prefijo_RESERVA
51216,29,29,3,AQ03504,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
102597,32,32,2,AV10906,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98273,4   JUNTO98257,4,1,90,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
109200,29,29,2,B03,2,C,16.0,AM,posicion_rack,0.125,dimensión compatible con AM; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AW10703,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
11014,61,61,144,AV10304,1,B,48.0,EU,posicion_rack,3.0,match_articulo; owner=prefijo_RESERVA
142014,32,32,3,AQ14404,1,C,16.0,AM,posicion_rack,0.1875,dimensión compatible con AM; owner=prefijo_RESERVA
43065,33,33,6,AQ04101,1,C,2.0,suelo_126,posicion_suelo,3.0,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BB14402,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
*MULTI*,,sin_asignacion_segura,1,AJ07506,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98641,61,61,3,AZ02300,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
152040,33,33,35,BA04603,35,C,12.0,balda_9h,subhueco_balda,2.9166666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
122013,32,32,17,AK01803,17,B,360.0,EU,posicion_rack,0.04722222222222222,match_articulo; owner=prefijo_RESERVA
14000,32,32,816,AP07204,1,B,120.0,EU,posicion_rack,6.8,match_articulo; owner=prefijo_RESERVA
102235,29,29,80,AJ09706,80,C,12.0,balda_9h,subhueco_balda,6.666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
44023,32,32,2,AT15003,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
142015,32,32,2,AV10906,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11124,29,29,26,TJ09101,1,C,2.0,suelo_126,posicion_suelo,13.0,dimensión <= 126 cm; owner=prefijo_RESERVA
133021,32,32,100,AZ08905,100,C,12.0,balda_9h,subhueco_balda,8.333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
186055,61,61,167,AJ02201,167,C,12.0,balda_9h,subhueco_balda,13.916666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
12068,77,77,48,AV12006,1,B,192.0,EU,posicion_rack,0.25,match_articulo; owner=prefijo_RESERVA
42067,64,64,1,BA08705,1,A,6.0,EU,posicion_rack,0.16666666666666666,match_articulo_propietario; owner=prefijo_RESERVA
103988,33,33,1,BB07302,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
991133,29,29,39,TJ01403,1,C,2.0,suelo_126,posicion_suelo,19.5,dimensión <= 126 cm; owner=prefijo_RESERVA
121026,32,32,36,AZ08905,36,C,12.0,balda_9h,subhueco_balda,3.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
71009,77,77,1284,AM03803,1,B,328.0,EU,posicion_rack,3.9146341463414633,match_articulo; owner=prefijo_RESERVA
12012,77,77,144,AV06806,1,B,72.0,EU,posicion_rack,2.0,match_articulo; owner=prefijo_RESERVA
123069,29,29,1200,AW12301,1,A,254.0,EU,posicion_rack,4.724409448818897,match_articulo_propietario; owner=prefijo_RESERVA
98623,61,61,5,AO14003,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98279,23,23,1,90,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
11115,33,33,24,AV04107,1,B,48.0,EU,posicion_rack,0.5,match_articulo; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AJ08001,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98767,64,64,1,BB06705,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
32091,7,7,2,AV10908,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AO14003,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98753,64,64,2,BB01505,2,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98012,14 VOLUNTARIA,14,16,BA02801,16,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
14012,77,77,24,AV13508,1,A,96.0,balda_9h,subhueco_balda,0.25,match_articulo_propietario; owner=prefijo_RESERVA
132002,29,29,8,AJ09706,8,C,12.0,balda_9h,subhueco_balda,0.6666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
126120,61,61,1000,AK01105,1000,C,12.0,balda_9h,subhueco_balda,83.33333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
146018,33,33,18,AM09302,1,C,2.0,suelo_126,posicion_suelo,9.0,dimensión <= 126 cm; owner=prefijo_RESERVA
12016,77,77,144,TJ08802,1,B,60.0,EU,posicion_rack,2.4,match_articulo; owner=prefijo_RESERVA
145105,64,64,1,BA11402,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AN13903,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
*MULTI*,,sin_asignacion_segura,1,AV09903,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98639,61,61,3,AZ02300,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
142051,60,60,2,BB12800,1,C,16.0,AM,posicion_rack,0.125,dimensión compatible con AM; owner=prefijo_RESERVA
98509,61,61,168,TJ04202,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
192046,33,33,5713,BC13702,1,C,12.0,balda_9h,subhueco_balda,476.0833333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98734,61,61,10,AZ02300,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
65059,71,71,168,AZ01205,1,C,12.0,balda_9h,subhueco_balda,14.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11030,77,77,168,TJ00203,1,B,48.0,balda_9h,subhueco_balda,3.5,match_articulo; owner=prefijo_RESERVA
14014,29,29,72,AT07504,72,A,276.0,EU,posicion_rack,0.2608695652173913,match_articulo_propietario; owner=prefijo_RESERVA
74036,60,60,378,BB01702,1,C,12.0,balda_9h,subhueco_balda,31.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
167016,71,71,3,BB04903,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
125001,33,33,463,BB13701,463,C,12.0,balda_9h,subhueco_balda,38.583333333333336,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
186078,61,61,210,AJ02201,210,C,12.0,balda_9h,subhueco_balda,17.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
148065,37,37,1,AL107,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
51077,71,71,1,BA11900,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
98752,64,64,2,BA03104,2,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
146098,71,71,3,BC13303,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
13088,29,29,24,TJ10702,1,B,864.0,EU,posicion_rack,0.027777777777777776,match_articulo; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AO12803,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98507,77,77,120,AO14704,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
161161,71,71,1,AN07001,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
123087,64,64,2122,BC08302,2122,C,2.0,suelo_126,posicion_suelo,1061.0,dimensión <= 126 cm; owner=prefijo_RESERVA
124001,29 BLOQUEADO SM,29,139,AM01003,1,C,12.0,balda_9h,subhueco_balda,11.583333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
14014,29,29,72,AZ01003,1,A,276.0,EU,posicion_rack,0.2608695652173913,match_articulo_propietario; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AO13604,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
123086,32,32,1300,AK01803,1300,B,892.0,EU,posicion_rack,1.4573991031390134,match_articulo; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AI10804,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
132076,33,33,8,BA04603,8,C,2.0,suelo_126,posicion_suelo,4.0,dimensión <= 126 cm; owner=prefijo_RESERVA
84445,64,64,1,AV03804,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98011,14 VOLUNTARIA,14,21,BA02801,21,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
83127,64,64,42,BA11402,42,C,12.0,balda_9h,subhueco_balda,3.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AO14002,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
43008,23,23,2,B03,1,A,2.0,AM,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
98590,61,61,8,AO12404,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98747,64,64,1,AZ01902,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
132021,64,64,2,BA11402,2,C,1.0,suelo_250,posicion_suelo,2.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BB09403,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
111012,33,33,32,BA04603,32,C,12.0,balda_9h,subhueco_balda,2.6666666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
102581,33,33,2,BA04603,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
121060,4,4,45,AL102,45,C,12.0,balda_9h,subhueco_balda,3.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BA11402,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
172057,7,7,73,BC11305,1,B,43.0,EU,posicion_rack,1.697674418604651,match_articulo; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AK04006,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
181060,32,32,1,AI10804,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
94020,4,4,1,99,1,C,2.0,suelo_300,posicion_suelo,0.5,dimensión >= 250 cm; owner=prefijo_RESERVA
98748,64,64,6,AL03505,6,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98580,61,61,4,AZ02300,4,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
161000,32,32,2,AK01803,2,A,2.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
111010,32,32,298,AI10804,298,C,12.0,balda_9h,subhueco_balda,24.833333333333332,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
91162,7,7,2,AZ00402,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV07110,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
107159,29,29,1,AV13702,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
49013,64,64,1,AW03701,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AI09902,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
121027,32,32,32,AZ08905,32,C,12.0,balda_9h,subhueco_balda,2.6666666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11114,29,29,72,TJ07601,1,B,768.0,EU,posicion_rack,0.09375,match_articulo; owner=prefijo_RESERVA
148075,37,37,5,AL103,1,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
122043,32,32,3,AK01803,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
12019,77,77,360,AV06508,1,B,228.0,EU,posicion_rack,1.5789473684210527,match_articulo; owner=prefijo_RESERVA
124260,33,33,72,BC09805,1,C,12.0,balda_9h,subhueco_balda,6.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
21043,29,29,2,AK10105,1,A,5.0,EU,posicion_rack,0.4,match_articulo_propietario; owner=prefijo_RESERVA
51248,7,7,1,AR07204,1,C,6.0,EU,posicion_rack,0.16666666666666666,dimensión compatible con EU; owner=prefijo_RESERVA
102653,29,29,1,BF07103,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
106339,29,29,52,BF07103,52,C,12.0,balda_9h,subhueco_balda,4.333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
33000,32,32,10,BB03704,1,C,2.0,suelo_126,posicion_suelo,5.0,dimensión <= 126 cm; owner=prefijo_RESERVA
74036,60,60,378,BB05703,1,C,12.0,balda_9h,subhueco_balda,31.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98559,61,61,7,AP09401,7,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
121032,32,32,7,AZ08905,7,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
65059,71,71,120,AQ15004,1,C,12.0,balda_9h,subhueco_balda,10.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98717,61,61,116,BD09602,116,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
84098,77,77,180,BC12701,1,A,4.0,EU,posicion_rack,45.0,match_articulo_propietario; owner=prefijo_RESERVA
22105,64,64,1,AV03306,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
105093,29,29,9,BF07103,9,C,12.0,balda_9h,subhueco_balda,0.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AJ02201,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
144024,7,7,7,BB07901,1,B,5.0,EU,posicion_rack,1.4,match_articulo; owner=prefijo_RESERVA
98719,61,61,104,BD09602,104,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98006,14 VOLUNTARIA,14,13,BA02801,13,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
16017,29,29,4,AU04604,1,C,2.0,suelo_126,posicion_suelo,2.0,dimensión <= 126 cm; owner=prefijo_RESERVA
148066,37,37,1,AL107,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
154022,64,64,2,AI05701,2,C,1.0,suelo_250,posicion_suelo,2.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
121034,32,32,28,AZ08905,28,C,12.0,balda_9h,subhueco_balda,2.3333333333333335,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
186079,61,61,48,AJ02201,48,C,12.0,balda_9h,subhueco_balda,4.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
133108,33,33,16791,AU09403,1,C,12.0,balda_9h,subhueco_balda,1399.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BA14303,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
128072,80,80,2,AI13003,1,A,3.0,AM,posicion_rack,0.6666666666666666,match_articulo_propietario; owner=prefijo_RESERVA
86037,32,32,160,AK01803,160,C,12.0,balda_9h,subhueco_balda,13.333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
105582,33,33,3,BA04603,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98897,64,64,51,AZ01902,51,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
64002,61,61,4,AK01105,4,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
61027,61,61,18,AK01105,18,A,24.0,balda_9h,subhueco_balda,0.75,match_articulo_propietario; owner=prefijo_RESERVA
121035,33,33,59,BA04603,59,C,12.0,balda_9h,subhueco_balda,4.916666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
102568,29,29,3,AV13002,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
121030,32,32,29,AZ08905,29,C,12.0,balda_9h,subhueco_balda,2.4166666666666665,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
14026,64,64,288,AJ08805,1,B,24.0,balda_9h,subhueco_balda,12.0,match_articulo; owner=prefijo_RESERVA
152178,64,64,2,AQ02003,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
991017,32,32,2,AK01803,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
74006,32,32,6,AK01803,6,C,12.0,balda_9h,subhueco_balda,0.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
53015,32,32,3,AV11503,1,B,1.5,EU,posicion_rack,2.0,match_articulo; owner=prefijo_RESERVA
69004,33,33,5,BB07302,5,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
