ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
98015,14 VOLUNTARIA,14,14,BA02801,14,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
143082,71,71,19,BB09205,19,C,2.0,suelo_126,posicion_suelo,9.5,dimensión <= 126 cm; owner=prefijo_RESERVA
165013,3,3,1,AL102,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
33000,32,32,10,AZ13503,1,C,2.0,suelo_126,posicion_suelo,5.0,dimensión <= 126 cm; owner=prefijo_RESERVA
205027,32,32,4,AK01605,1,C,2.0,suelo_126,posicion_suelo,2.0,dimensión <= 126 cm; owner=prefijo_RESERVA
54088,64,64,2,BA11402,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
43065,33,33,7,AN07501,1,C,2.0,suelo_126,posicion_suelo,3.5,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,TJ04103,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98617,61,61,5,AO14002,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
14014,33,33,720,AP08305,1,B,360.0,EU,posicion_rack,2.0,match_articulo; owner=prefijo_RESERVA
32077,64,64,12,AK08505,1,C,2.0,suelo_126,posicion_suelo,6.0,dimensión <= 126 cm; owner=prefijo_RESERVA
114020,32,32,744,BF01805,1,C,12.0,balda_9h,subhueco_balda,62.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
61007,77,77,84,17,1,B,782.0,EU,posicion_rack,0.10741687979539642,match_articulo; owner=prefijo_RESERVA
181162,32,32,1,AV10906,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
148048,37,37,5,AL105,1,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
32052,71,71,8,AT11303,1,C,2.0,suelo_126,posicion_suelo,4.0,dimensión <= 126 cm; owner=prefijo_RESERVA
155006,32,32,3,BC10905,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
74019,34,34,270,BA06905,1,A,270.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
23108,29,29,2,TJ12100,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
11013,61,61,1080,BA03303,1,A,48.0,balda_9h,subhueco_balda,22.5,match_articulo_propietario; owner=prefijo_RESERVA
143053,32,32,10,AJ04207,1,C,2.0,suelo_126,posicion_suelo,5.0,dimensión <= 126 cm; owner=prefijo_RESERVA
148018,37,37,2,AL105,1,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
146065,71,71,1,AJ07805,1,A,1.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
98566,61,61,8,AR09401,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
65048,29,29,48,TJ00903,1,C,12.0,balda_9h,subhueco_balda,4.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
143046,77,77,9,AQ14003,1,B,24.0,EU,posicion_rack,0.375,match_articulo; owner=prefijo_RESERVA
122190,29,29,10,AV13702,10,C,2.0,suelo_126,posicion_suelo,5.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98047,74,74,348,B03,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98016,14 VOLUNTARIA,14,25,BA02801,25,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
148043,37,37,1,AL103,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
91202,29,29,1,BA05204,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
98642,61,61,7,AV10306,7,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
172078,64,64,5,AP14604,1,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
