line_id,transaction_id,propietario,owner_name,location_actual,location_contrafactual,ahorro_metros_linea_proxy,unidad_analisis,escenario
1862,SG06202625597-01|95,95,INNOVACION,014-066-30,009-001-20,87.8,linea,B_base_recomendado
1863,SG06202625597-01|95,95,INNOVACION,014-049-40,009-002-20,87.8,linea,B_base_recomendado
1864,SG06202625598-01|95,95,INNOVACION,011-116-20,009-001-00,86.56,linea,B_base_recomendado
1867,SG06202625598-01|95,95,INNOVACION,011-126-20,009-001-40,86.56,linea,B_base_recomendado
1869,SG06202625598-01|95,95,INNOVACION,012-036-10,009-001-10,86.56,linea,B_base_recomendado
1870,SG06202625598-01|95,95,INNOVACION,014-111-30,009-002-10,86.56,linea,B_base_recomendado
1871,SG06202625598-01|95,95,INNOVACION,014-019-10,009-001-30,86.56,linea,B_base_recomendado
1873,SG06202625598-01|95,95,INNOVACION,014-066-30,009-001-20,86.56,linea,B_base_recomendado
1874,SG06202625598-01|95,95,INNOVACION,014-049-40,009-002-20,86.56,linea,B_base_recomendado
1875,SG06202625598-01|95,95,INNOVACION,014-100-10,009-003-30,86.56,linea,B_base_recomendado
1876,SG06202625598-01|95,95,INNOVACION,014-111-20,009-004-40,86.56,linea,B_base_recomendado
1877,SG06202625598-01|95,95,INNOVACION,018-130-30,009-002-30,86.56,linea,B_base_recomendado
1825,SG06202625600-01|95,95,INNOVACION,011-116-20,009-001-00,87.6571,linea,B_base_recomendado
1828,SG06202625600-01|95,95,INNOVACION,011-126-20,009-001-40,87.6571,linea,B_base_recomendado
1830,SG06202625600-01|95,95,INNOVACION,014-111-30,009-002-10,87.6571,linea,B_base_recomendado
1831,SG06202625600-01|95,95,INNOVACION,014-066-30,009-001-20,87.6571,linea,B_base_recomendado
1832,SG06202625600-01|95,95,INNOVACION,014-033-40,009-003-20,87.6571,linea,B_base_recomendado
1833,SG06202625600-01|95,95,INNOVACION,014-049-40,009-002-20,87.6571,linea,B_base_recomendado
1834,SG06202625600-01|95,95,INNOVACION,018-130-30,009-002-30,87.6571,linea,B_base_recomendado
1835,SG06202625601-01|95,95,INNOVACION,010-065-08,009-005-30,85.1,linea,B_base_recomendado
1836,SG06202625601-01|95,95,INNOVACION,011-116-20,009-001-00,85.1,linea,B_base_recomendado
1837,SG06202625601-01|95,95,INNOVACION,011-126-20,009-001-40,85.1,linea,B_base_recomendado
1838,SG06202625601-01|95,95,INNOVACION,014-111-30,009-002-10,85.1,linea,B_base_recomendado
1839,SG06202625601-01|95,95,INNOVACION,014-019-10,009-001-30,85.1,linea,B_base_recomendado
1840,SG06202625601-01|95,95,INNOVACION,014-066-30,009-001-20,85.1,linea,B_base_recomendado
1841,SG06202625601-01|95,95,INNOVACION,014-049-40,009-002-20,85.1,linea,B_base_recomendado
1842,SG06202625601-01|95,95,INNOVACION,018-130-30,009-002-30,85.1,linea,B_base_recomendado
1843,SG06202625602-01|95,95,INNOVACION,011-116-20,009-001-00,91.8571,linea,B_base_recomendado
1844,SG06202625602-01|95,95,INNOVACION,011-126-20,009-001-40,91.8571,linea,B_base_recomendado
1845,SG06202625602-01|95,95,INNOVACION,012-036-10,009-001-10,91.8571,linea,B_base_recomendado
1847,SG06202625602-01|95,95,INNOVACION,014-111-30,009-002-10,91.8571,linea,B_base_recomendado
1848,SG06202625602-01|95,95,INNOVACION,014-019-10,009-001-30,91.8571,linea,B_base_recomendado
1849,SG06202625602-01|95,95,INNOVACION,014-066-30,009-001-20,91.8571,linea,B_base_recomendado
1851,SG06202625602-01|95,95,INNOVACION,014-049-40,009-002-20,91.8571,linea,B_base_recomendado
1818,SG06202625603-01|95,95,INNOVACION,011-116-20,009-001-00,163.1,linea,B_base_recomendado
1819,SG06202625603-01|95,95,INNOVACION,014-033-40,009-003-20,163.1,linea,B_base_recomendado
2078,SG06202625605-01|95,95,INNOVACION,011-116-20,009-001-00,86.9,linea,B_base_recomendado
2079,SG06202625605-01|95,95,INNOVACION,011-121-20,009-004-10,86.9,linea,B_base_recomendado
2080,SG06202625605-01|95,95,INNOVACION,012-036-10,009-001-10,86.9,linea,B_base_recomendado
2081,SG06202625605-01|95,95,INNOVACION,014-019-10,009-001-30,86.9,linea,B_base_recomendado
2082,SG06202625605-01|95,95,INNOVACION,014-066-30,009-001-20,86.9,linea,B_base_recomendado
2083,SG06202625605-01|95,95,INNOVACION,014-039-40,009-002-00,86.9,linea,B_base_recomendado
2084,SG06202625605-01|95,95,INNOVACION,014-100-10,009-003-30,86.9,linea,B_base_recomendado
2085,SG06202625605-01|95,95,INNOVACION,018-130-30,009-002-30,86.9,linea,B_base_recomendado
2064,SG06202625606-01|95,95,INNOVACION,011-116-20,009-001-00,83.9,linea,B_base_recomendado
2065,SG06202625606-01|95,95,INNOVACION,011-121-20,009-004-10,83.9,linea,B_base_recomendado
2066,SG06202625606-01|95,95,INNOVACION,012-036-10,009-001-10,83.9,linea,B_base_recomendado
2067,SG06202625606-01|95,95,INNOVACION,014-019-10,009-001-30,83.9,linea,B_base_recomendado
2068,SG06202625606-01|95,95,INNOVACION,014-066-30,009-001-20,83.9,linea,B_base_recomendado
2069,SG06202625606-01|95,95,INNOVACION,014-049-40,009-002-20,83.9,linea,B_base_recomendado
2070,SG06202625606-01|95,95,INNOVACION,014-100-10,009-003-30,83.9,linea,B_base_recomendado
2071,SG06202625606-01|95,95,INNOVACION,018-130-30,009-002-30,83.9,linea,B_base_recomendado
2072,SG06202625607-01|95,95,INNOVACION,014-049-40,009-002-20,83.9,linea,B_base_recomendado
2073,SG06202625607-01|95,95,INNOVACION,014-039-40,009-002-00,83.9,linea,B_base_recomendado
2074,SG06202625608-01|95,95,INNOVACION,011-116-20,009-001-00,110.35,linea,B_base_recomendado
2075,SG06202625608-01|95,95,INNOVACION,014-019-10,009-001-30,110.35,linea,B_base_recomendado
2076,SG06202625608-01|95,95,INNOVACION,014-066-30,009-001-20,110.35,linea,B_base_recomendado
2077,SG06202625608-01|95,95,INNOVACION,014-039-40,009-002-00,110.35,linea,B_base_recomendado
2086,SG06202625609-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
2092,SG06202625610-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
2088,SG06202625611-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
2341,SG06202625612-01|30,30,EVENTOS COMERCIALES,015-047-20,008-011-30,106.9,linea,B_base_recomendado
2342,SG06202625612-01|30,30,EVENTOS COMERCIALES,015-068-20,008-008-20,106.9,linea,B_base_recomendado
2087,SG06202625613-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
2089,SG06202625614-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
2090,SG06202625615-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
2091,SG06202625616-01|95,95,INNOVACION,014-039-40,009-002-00,143.8,linea,B_base_recomendado
1865,SG06202625617-01|95,95,INNOVACION,011-126-20,009-001-40,145.6,linea,B_base_recomendado
1866,SG06202625617-01|95,95,INNOVACION,012-036-10,009-001-10,145.6,linea,B_base_recomendado
1868,SG06202625617-01|95,95,INNOVACION,014-111-20,009-004-40,145.6,linea,B_base_recomendado
1872,SG06202625617-01|95,95,INNOVACION,018-120-30,009-003-40,145.6,linea,B_base_recomendado
2138,SG06202625624-01|23,23,MAHOU-MARKETING OCIO,015-002-08,008-021-40,34.9,linea,B_base_recomendado
2139,SG06202625624-01|23,23,MAHOU-MARKETING OCIO,015-018-10,007-006-30,34.9,linea,B_base_recomendado
2113,SG06202625625-01|6,6,CRAFT,014-056-10,009-001-30,187.0,linea,B_base_recomendado
2114,SG06202625627-01|62,62,MAHOU JOVEN,015-008-10,010-061-04,67.75,linea,B_base_recomendado
2115,SG06202625627-01|62,62,MAHOU JOVEN,015-051-40,010-061-03,67.75,linea,B_base_recomendado
2116,SG06202625627-01|62,62,MAHOU JOVEN,015-145-30,010-061-02,67.75,linea,B_base_recomendado
2117,SG06202625627-01|62,62,MAHOU JOVEN,015-151-30,010-061-06,67.75,linea,B_base_recomendado
2146,SG06202625630-01|23,23,MAHOU-MARKETING OCIO,015-122-30,007-003-10,373.6,linea,B_base_recomendado
2182,SG06202625633-01|3,3,ALHAMBRA,015-047-40,006-002-20,109.5,linea,B_base_recomendado
2186,SG06202625633-01|3,3,ALHAMBRA,015-052-40,006-001-20,109.5,linea,B_base_recomendado
2209,SG06202625634-01|62,62,MAHOU JOVEN,015-053-10,010-063-03,31.0,linea,B_base_recomendado
2212,SG06202625635-02|30,30,EVENTOS COMERCIALES,015-011-10,008-001-00,99.7,linea,B_base_recomendado
2213,SG06202625635-02|30,30,EVENTOS COMERCIALES,015-053-40,008-002-10,99.7,linea,B_base_recomendado
2216,SG06202625636-01|95,95,INNOVACION,012-036-10,009-001-10,97.0,linea,B_base_recomendado
2217,SG06202625636-01|95,95,INNOVACION,018-120-30,009-003-40,97.0,linea,B_base_recomendado
2218,SG06202625636-01|95,95,INNOVACION,010-065-40,009-008-20,97.0,linea,B_base_recomendado
2219,SG06202625636-01|95,95,INNOVACION,010-078-20,009-003-10,97.0,linea,B_base_recomendado
