transaction_id,propietario,owner_name,lineas_transaccion,metros_actuales,metros_contrafactuales,ahorro_metros,ahorro_pct,unidad_analisis,escenario
SGP202625273|6,6,CRAFT,3,263.8,35.4,228.4,0.865807,transaccion,B_base_recomendado
SGP202625274|29,29,MAHOU FUTBOL,2,233.4,26.8,206.6,0.885176,transaccion,B_base_recomendado
SGP202625274|34,34,CUENTAS NACIONALES,1,185.4,192.8,-7.4,-0.039914,transaccion,B_base_recomendado
SGP202625274|89,89,BRAND MANAGEMENT MERCADO,2,310.2,190.4,119.8,0.386202,transaccion,B_base_recomendado
SGP202625274|96,96,NOMBRE,1,235.8,38.8,197.0,0.835454,transaccion,B_base_recomendado
SGP202625277|95,95,INNOVACION,7,336.2,49.8,286.4,0.851874,transaccion,B_base_recomendado
SGP202625278|23,23,MAHOU-MARKETING OCIO,2,382.2,13.4,368.8,0.96494,transaccion,B_base_recomendado
SGP202625281|90,90,HUB CONTENIDO & ACTIVACIÓN,1,113.4,190.4,-77.0,-0.679012,transaccion,B_base_recomendado
SGP202625282|30,30,EVENTOS COMERCIALES,2,163.8,24.4,139.4,0.851038,transaccion,B_base_recomendado
SGP202625283|5,5,NOMBRE,1,267.2,47.4,219.8,0.822605,transaccion,B_base_recomendado
SGP202625283|79,79,NOMBRE,1,271.8,59.8,212.0,0.779985,transaccion,B_base_recomendado
SGP202625284|3,3,ALHAMBRA,1,169.2,31.2,138.0,0.815603,transaccion,B_base_recomendado
SGP202625285|4,4,NOMBRE,1,399.0,7.2,391.8,0.981955,transaccion,B_base_recomendado
SGP202625286|96,96,NOMBRE,8,352.6,96.4,256.2,0.726602,transaccion,B_base_recomendado
SGP202625288|23,23,MAHOU-MARKETING OCIO,1,382.2,13.4,368.8,0.96494,transaccion,B_base_recomendado
SGP202625290|62,62,MAHOU JOVEN,1,125.4,190.4,-65.0,-0.518341,transaccion,B_base_recomendado
SGP202625291|4,4,NOMBRE,1,255.0,12.0,243.0,0.952941,transaccion,B_base_recomendado
SGP202625296|3,3,ALHAMBRA,1,102.4,36.0,66.4,0.648438,transaccion,B_base_recomendado
SGP202625297|3,3,ALHAMBRA,1,101.4,4.8,96.6,0.952663,transaccion,B_base_recomendado
SGP202625298|89,89,BRAND MANAGEMENT MERCADO,1,443.6,195.2,248.4,0.559964,transaccion,B_base_recomendado
SGP202625299|29,29,MAHOU FUTBOL,5,247.8,46.0,201.8,0.814366,transaccion,B_base_recomendado
SGP202625299|62,62,MAHOU JOVEN,4,672.6,192.8,479.8,0.713351,transaccion,B_base_recomendado
SGP202625300|96,96,NOMBRE,1,185.4,36.4,149.0,0.803668,transaccion,B_base_recomendado
SGP202625301|4,4,NOMBRE,1,306.0,28.8,277.2,0.905882,transaccion,B_base_recomendado
SGP202625302|96,96,NOMBRE,27,1880.8,110.8,1770.0,0.941089,transaccion,B_base_recomendado
SGP202625303|62,62,MAHOU JOVEN,3,343.8,192.8,151.0,0.439209,transaccion,B_base_recomendado
SGP202625308|14,14,FUNDACIÓN MAHOU SAN MIGUEL,4,290.4,68.4,222.0,0.764463,transaccion,B_base_recomendado
SGP202625309|95,95,INNOVACION,2,167.2,42.6,124.6,0.745215,transaccion,B_base_recomendado
SGP202625315|5,5,NOMBRE,2,281.6,47.4,234.2,0.831676,transaccion,B_base_recomendado
SGP202625316|5,5,NOMBRE,1,281.6,37.8,243.8,0.865767,transaccion,B_base_recomendado
SGP202625317|62,62,MAHOU JOVEN,1,341.4,190.4,151.0,0.442296,transaccion,B_base_recomendado
SGP202625318|62,62,MAHOU JOVEN,1,341.4,190.4,151.0,0.442296,transaccion,B_base_recomendado
SGP202625319|62,62,MAHOU JOVEN,2,343.8,195.2,148.6,0.432228,transaccion,B_base_recomendado
SGP202625320|74,74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,2,306.2,68.4,237.8,0.776617,transaccion,B_base_recomendado
SGP202625321|4,4,NOMBRE,2,496.4,24.0,472.4,0.951652,transaccion,B_base_recomendado
SGP202625322|82,82,BRUTUS DESARROLLO COMERCIAL,3,337.6,195.2,142.4,0.421801,transaccion,B_base_recomendado
SGP202625323|82,82,BRUTUS DESARROLLO COMERCIAL,2,308.8,195.2,113.6,0.367876,transaccion,B_base_recomendado
SGP202625324|82,82,BRUTUS DESARROLLO COMERCIAL,3,356.8,195.2,161.6,0.452915,transaccion,B_base_recomendado
SGP202625325|82,82,BRUTUS DESARROLLO COMERCIAL,2,212.8,190.4,22.4,0.105263,transaccion,B_base_recomendado
SGP202625326|82,82,BRUTUS DESARROLLO COMERCIAL,1,169.6,190.4,-20.8,-0.122642,transaccion,B_base_recomendado
SGP202625327|82,82,BRUTUS DESARROLLO COMERCIAL,4,356.8,195.2,161.6,0.452915,transaccion,B_base_recomendado
SGP202625328|82,82,BRUTUS DESARROLLO COMERCIAL,4,356.8,190.4,166.4,0.466368,transaccion,B_base_recomendado
SGP202625329|82,82,BRUTUS DESARROLLO COMERCIAL,5,337.6,190.4,147.2,0.436019,transaccion,B_base_recomendado
SGP202625330|96,96,NOMBRE,4,323.2,82.0,241.2,0.746287,transaccion,B_base_recomendado
SGP202625332|23,23,MAHOU-MARKETING OCIO,1,105.8,20.6,85.2,0.805293,transaccion,B_base_recomendado
SGP202625335|82,82,BRUTUS DESARROLLO COMERCIAL,6,356.8,190.4,166.4,0.466368,transaccion,B_base_recomendado
SGP202625336|82,82,BRUTUS DESARROLLO COMERCIAL,3,337.6,195.2,142.4,0.421801,transaccion,B_base_recomendado
SGP202625337|82,82,BRUTUS DESARROLLO COMERCIAL,3,376.0,195.2,180.8,0.480851,transaccion,B_base_recomendado
SGP202625338|82,82,BRUTUS DESARROLLO COMERCIAL,4,356.8,190.4,166.4,0.466368,transaccion,B_base_recomendado
SGP202625339|82,82,BRUTUS DESARROLLO COMERCIAL,2,212.8,190.4,22.4,0.105263,transaccion,B_base_recomendado
SGP202625340|82,82,BRUTUS DESARROLLO COMERCIAL,8,393.2,200.0,193.2,0.491353,transaccion,B_base_recomendado
SGP202625344|5,5,NOMBRE,1,276.8,35.4,241.4,0.87211,transaccion,B_base_recomendado
SGP202625346|30,30,EVENTOS COMERCIALES,6,416.8,62.8,354.0,0.849328,transaccion,B_base_recomendado
SGP202625347|4,4,NOMBRE,2,346.2,7.2,339.0,0.979203,transaccion,B_base_recomendado
SGP202625348|4,4,NOMBRE,3,274.2,4.8,269.4,0.982495,transaccion,B_base_recomendado
SGP202625349|4,4,NOMBRE,2,418.2,38.4,379.8,0.908178,transaccion,B_base_recomendado
SGP202625350|61,61,MAHOU CORPORATIVO,1,219.2,190.4,28.8,0.131387,transaccion,B_base_recomendado
SGP202625351|30,30,EVENTOS COMERCIALES,6,703.8,50.8,653.0,0.92782,transaccion,B_base_recomendado
SGP202625351|86,86,GOLF,6,327.0,73.2,253.8,0.776147,transaccion,B_base_recomendado
SGP202625352|4,4,NOMBRE,4,384.6,60.0,324.6,0.843994,transaccion,B_base_recomendado
SGP202625353|23,23,MAHOU-MARKETING OCIO,3,382.2,27.8,354.4,0.927263,transaccion,B_base_recomendado
SGP202625354|30,30,EVENTOS COMERCIALES,20,733.4,79.6,653.8,0.891464,transaccion,B_base_recomendado
SGP202625355|30,30,EVENTOS COMERCIALES,4,461.4,31.6,429.8,0.931513,transaccion,B_base_recomendado
SGP202625357|4,4,NOMBRE,2,274.2,33.6,240.6,0.877462,transaccion,B_base_recomendado
SGP202625359|61,61,MAHOU CORPORATIVO,8,525.6,197.6,328.0,0.624049,transaccion,B_base_recomendado
SGP202625360|5,5,NOMBRE,1,250.4,35.4,215.0,0.858626,transaccion,B_base_recomendado
SGP202625361|30,30,EVENTOS COMERCIALES,4,624.6,36.4,588.2,0.941723,transaccion,B_base_recomendado
SGP202625361|86,86,GOLF,2,327.0,68.4,258.6,0.790826,transaccion,B_base_recomendado
SGP202625363|82,82,BRUTUS DESARROLLO COMERCIAL,8,651.4,224.0,427.4,0.656125,transaccion,B_base_recomendado
SGP202625364|82,82,BRUTUS DESARROLLO COMERCIAL,7,521.8,219.2,302.6,0.579916,transaccion,B_base_recomendado
SGP202625365|82,82,BRUTUS DESARROLLO COMERCIAL,4,359.6,209.6,150.0,0.41713,transaccion,B_base_recomendado
SGP202625366|82,82,BRUTUS DESARROLLO COMERCIAL,1,241.6,200.0,41.6,0.172185,transaccion,B_base_recomendado
SGP202625367|82,82,BRUTUS DESARROLLO COMERCIAL,3,412.0,209.6,202.4,0.491262,transaccion,B_base_recomendado
SGP202625369|82,82,BRUTUS DESARROLLO COMERCIAL,2,337.6,192.8,144.8,0.42891,transaccion,B_base_recomendado
SGP202625371|62,62,MAHOU JOVEN,3,447.0,190.4,256.6,0.574049,transaccion,B_base_recomendado
SGP202625373|62,62,MAHOU JOVEN,3,447.0,190.4,256.6,0.574049,transaccion,B_base_recomendado
SGP202625374|62,62,MAHOU JOVEN,3,447.0,190.4,256.6,0.574049,transaccion,B_base_recomendado
SGP202625375|62,62,MAHOU JOVEN,4,447.0,190.4,256.6,0.574049,transaccion,B_base_recomendado
SGP202625376|23,23,MAHOU-MARKETING OCIO,3,393.2,18.2,375.0,0.953713,transaccion,B_base_recomendado
SGP202625378|5,5,NOMBRE,1,183.0,61.8,121.2,0.662295,transaccion,B_base_recomendado
SGP202625379|4,4,NOMBRE,2,370.2,62.4,307.8,0.831442,transaccion,B_base_recomendado
SGP202625384|23,23,MAHOU-MARKETING OCIO,1,382.2,13.4,368.8,0.96494,transaccion,B_base_recomendado
SGP202625385|4,4,NOMBRE,3,346.2,33.6,312.6,0.902946,transaccion,B_base_recomendado
SGP202625386|4,4,NOMBRE,3,274.2,33.6,240.6,0.877462,transaccion,B_base_recomendado
