propietario,pasillo,ubicaciones
3,6.0,267
3,7.0,578
4,6.0,387
5,9.0,228
5,10.0,98
6,9.0,64
12,12.0,34
14,12.0,220
21,12.0,7
23,7.0,70
23,8.0,313
24,11.0,419
24,12.0,7
29,8.0,114
30,8.0,103
32,12.0,26
34,10.0,118
34,11.0,76
37,12.0,18
46,12.0,2
49,12.0,16
51,12.0,4
61,10.0,35
62,10.0,86
64,12.0,74
71,12.0,19
72,12.0,17
74,12.0,31
76,12.0,66
77,12.0,53
79,11.0,23
80,12.0,27
82,10.0,168
86,12.0,31
89,10.0,54
90,10.0,25
95,9.0,163
96,8.0,118
96,9.0,199
98,11.0,70
