transaction_id,propietario,owner_name,lineas_transaccion,picks_2026_owner,metros_actuales,metros_contrafactuales,ahorro_metros,pasillos_tocados_actual,pasillos_tocados_contrafactual,cambios_pasillo_actual,cambios_pasillo_contrafactual,stops_actual,stops_contrafactual,reenganches_ruta_actual,reenganches_ruta_contrafactual,num_pasillos_owner_actual,num_pasillos_owner_contrafactual,bloques_owner_actual,bloques_owner_contrafactual,amplitud_owner_actual,amplitud_owner_contrafactual,owner_fragment_proxy_actual,owner_fragment_proxy_contrafactual,bloque_discontinuo_proxy_actual,bloque_discontinuo_proxy_contrafactual,search_events_actual,search_events_contrafactual,maneuver_events_actual,maneuver_events_contrafactual,observed_duration_sec,model_seconds_actual,model_seconds_contrafactual,escenario,seconds_meters_actual,seconds_aisle_change_actual,seconds_stop_actual,seconds_owner_fragment_actual,seconds_discontinuous_block_actual,seconds_search_actual,seconds_maneuver_actual,seconds_return_route_actual,seconds_meters_contrafactual,seconds_aisle_change_contrafactual,seconds_stop_contrafactual,seconds_owner_fragment_contrafactual,seconds_discontinuous_block_contrafactual,seconds_search_contrafactual,seconds_maneuver_contrafactual,seconds_return_route_contrafactual,calibration_factor,tiempo_actual_total_sec,tiempo_contrafactual_total_sec,ahorro_tiempo_sec,tiempo_actual_total_h,tiempo_contrafactual_total_h,ahorro_tiempo_h,seconds_meters_actual_calibrado,seconds_meters_contrafactual_calibrado,delta_seconds_meters,seconds_aisle_change_actual_calibrado,seconds_aisle_change_contrafactual_calibrado,delta_seconds_aisle_change,seconds_stop_actual_calibrado,seconds_stop_contrafactual_calibrado,delta_seconds_stop,seconds_owner_fragment_actual_calibrado,seconds_owner_fragment_contrafactual_calibrado,delta_seconds_owner_fragment,seconds_discontinuous_block_actual_calibrado,seconds_discontinuous_block_contrafactual_calibrado,delta_seconds_discontinuous_block,seconds_search_actual_calibrado,seconds_search_contrafactual_calibrado,delta_seconds_search,seconds_maneuver_actual_calibrado,seconds_maneuver_contrafactual_calibrado,delta_seconds_maneuver,seconds_return_route_actual_calibrado,seconds_return_route_contrafactual_calibrado,delta_seconds_return_route
SG22202625569-05|3,3,ALHAMBRA,5,1,428.4,63.8,364.6,3,1,2,0,5,5,0,0,14,2,2,1,13,1,2.7857,0.5,0.2143,0.0,2.0,0.0,6.0,4.0,866.0,643.1771,149.49,A_conservador,449.82,40.0,32.5,33.4286,3.4286,18.0,66.0,0.0,66.99,0.0,32.5,6.0,0.0,0.0,44.0,0.0,2.7090692975582735,866.0,404.97876929198634,461.02123070801366,0.24055555555555555,0.11249410258110731,0.12806145297444824,1218.5935514276625,181.48055224342872,1037.1129991842338,108.36277190233093,0.0,108.36277190233093,88.04475217064389,88.04475217064389,0.0,90.5603939203565,16.254415785349643,74.30597813500685,9.288314993608296,0.0,9.288314993608296,48.76324735604892,0.0,48.76324735604892,178.79857363884605,119.19904909256404,59.59952454628201,0.0,0.0,0.0
SG22202625623-02|3,3,ALHAMBRA,1,1,4.8,13.4,-8.6,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,11.0,23.8257,26.57,A_conservador,5.04,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,14.07,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,11.0,71.97997123612333,-60.97997123612333,0.0030555555555555557,0.019994436454478702,-0.016938880898923148,13.653709259693699,38.11660501664491,-24.462895756951212,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG22202625626-02|3,3,ALHAMBRA,1,1,4.8,13.4,-8.6,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,114.0,23.8257,26.57,A_conservador,5.04,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,14.07,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,114.0,71.97997123612333,42.02002876387667,0.03166666666666667,0.019994436454478702,0.011672230212187964,13.653709259693699,38.11660501664491,-24.462895756951212,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG22202625692-01|3,3,ALHAMBRA,2,1,300.6,90.2,210.4,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,703.0,351.9157,124.71,A_conservador,315.63,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,94.71,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,703.0,337.8480320984923,365.1519679015077,0.19527777777777777,0.09384667558291453,0.10143110219486325,855.0635423883178,256.57595317174406,598.4875892165737,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
SG22202625695-01|3,3,ALHAMBRA,1,1,122.6,63.8,58.8,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,10.0,147.5157,79.49,A_conservador,128.73,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,66.99,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,10.0,215.34391846290714,-205.34391846290714,0.002777777777777778,0.059817755128585316,-0.05703997735080754,348.73849067467654,181.48055224342872,167.25793843124782,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG22202625723-02|3,3,ALHAMBRA,2,1,168.6,78.2,90.4,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,632.0,213.3157,112.11,A_conservador,177.03,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,82.11,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,632.0,303.713758949258,328.286241050742,0.17555555555555555,0.08436493304146056,0.09119062251409499,479.58653774674116,222.44168002250984,257.1448577242313,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
SG22202625733-01|3,3,ALHAMBRA,1,1,70.8,37.4,33.4,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,561.0,93.1257,51.77,A_conservador,74.34,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,39.27,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,561.0,140.24851753459183,420.7514824654082,0.15583333333333332,0.03895792153738662,0.11687541179594671,201.39221158048207,106.3851513151134,95.00706026536866,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG22202625768-01|3,3,ALHAMBRA,1,1,67.6,13.4,54.2,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,6.0,89.7657,26.57,A_conservador,70.98,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,14.07,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,6.0,71.97997123612333,-65.97997123612333,0.0016666666666666668,0.019994436454478702,-0.01832776978781204,192.28973874068626,38.11660501664491,154.17313372404135,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGE202624493|3,3,ALHAMBRA,2,1,200.4,54.2,146.2,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,682.0,246.7057,86.91,A_conservador,210.42,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,56.91,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,682.0,235.44521265078956,446.5547873492104,0.18944444444444444,0.06540144795855266,0.12404299648589179,570.0423615922119,154.17313372404135,415.8692278681706,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
SGE202624506|3,3,ALHAMBRA,3,1,349.2,73.4,275.8,1,1,0,0,3,3,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,2.0,2.0,2042.0,420.4457,124.57,A_conservador,366.66,0.0,19.5,11.1429,1.1429,0.0,22.0,0.0,77.07,0.0,19.5,6.0,0.0,0.0,22.0,0.0,2.7090692975582735,2042.0,337.4687623968341,1704.531237603166,0.5672222222222222,0.09374132288800947,0.4734808993342127,993.3073486427166,208.78797076281612,784.5193778799005,0.0,0.0,0.0,52.82685130238633,52.82685130238633,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,59.59952454628202,59.59952454628202,0.0,0.0,0.0,0.0
SGE202624525|3,3,ALHAMBRA,1,1,36.4,13.4,23.0,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,492.0,57.0057,26.57,A_conservador,38.22,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,14.07,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,492.0,71.97997123612333,420.02002876387667,0.13666666666666666,0.019994436454478702,0.11667223021218796,103.5406285526772,38.11660501664491,65.4240235360323,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGE202624550|3,3,ALHAMBRA,5,1,493.0,95.0,398.0,3,1,3,0,5,5,1,0,14,2,2,1,13,1,2.7857,0.5,0.2143,0.0,3.0,0.0,7.0,4.0,4277.8,763.0071,182.25,A_conservador,517.65,60.0,32.5,33.4286,3.4286,27.0,77.0,12.0,99.75,0.0,32.5,6.0,0.0,0.0,44.0,0.0,2.7090692975582735,4277.8,493.72787947999535,3784.072120520005,1.1882777777777778,0.1371466331888876,1.0511311445888902,1402.3497218810403,270.22966243143776,1132.1200594496026,162.54415785349642,0.0,162.54415785349642,88.04475217064389,88.04475217064389,0.0,90.5603939203565,16.254415785349643,74.30597813500685,9.288314993608296,0.0,9.288314993608296,73.14487103407339,0.0,73.14487103407339,208.59833591198705,119.19904909256404,89.39928681942301,32.508831570699286,0.0,32.508831570699286
SGE202624554|3,3,ALHAMBRA,2,1,137.4,75.8,61.6,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,371.0,180.5557,109.59,A_conservador,144.27,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,79.59,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,371.0,296.8869043194112,74.1130956805888,0.10305555555555555,0.08246858453316978,0.020586971022385776,390.83742755873214,215.614825392663,175.22260216606915,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
