propietario,owner_name,horas_ahorradas,ahorro_personal_equivalente_eur,ahorro_carretilla_equivalente_eur,ahorro_total_equivalente_eur,escenario
82,BRUTUS DESARROLLO COMERCIAL,92.0813045049024,2025.7886991078528,633.058968471204,2658.847667579057,A_conservador
3,ALHAMBRA,36.385883545381574,800.4894379983946,250.15294937449835,1050.642387372893,A_conservador
23,MAHOU-MARKETING OCIO,32.277312991715505,710.1008858177411,221.9065268180441,932.0074126357852,A_conservador
30,EVENTOS COMERCIALES,30.36636391905129,668.0600062191285,208.76875194347764,876.8287581626062,A_conservador
4,NOMBRE,24.50572047240273,539.12585039286,168.47682824776876,707.6026786406287,A_conservador
95,INNOVACION,15.21323400407233,334.69114808959125,104.59098377799725,439.28213186758853,A_conservador
96,NOMBRE,10.949646418346493,240.89222120362285,75.27881912613215,316.171040329755,A_conservador
86,GOLF,8.245152530197458,181.39335566434409,56.68542364510753,238.07877930945162,A_conservador
5,NOMBRE,8.016014240093853,176.35231328206476,55.110097900645236,231.46241118270999,A_conservador
29,MAHOU FUTBOL,4.945056235223023,108.79123717490651,33.99726161715828,142.7884987920648,A_conservador
89,BRAND MANAGEMENT MERCADO,3.468905926442597,76.31593038173713,23.848728244292857,100.16465862602999,A_conservador
6,CRAFT,2.807303749036737,61.76068247880822,19.30021327462757,81.06089575343579,A_conservador
61,MAHOU CORPORATIVO,1.3809950857671542,30.381891886877394,9.494341214649186,39.87623310152658,A_conservador
98,MAHOU CANAL,1.083970766931075,23.84735687248365,7.45229902265114,31.29965589513479,A_conservador
62,MAHOU JOVEN,0.997263223225013,21.939790910950286,6.856184659671964,28.79597557062225,A_conservador
12,ESPACIOS CERVECERAS,0.7101151803399509,15.62253396747892,4.882041864837162,20.504575832316082,A_conservador
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,0.6694055472269667,14.726922038993266,4.602163137185396,19.329085176178662,A_conservador
64,CORONA,0.5857019006236538,12.885441813720384,4.0267005667876195,16.912142380508,A_conservador
24,MCC MADRID,0.5322713040654821,11.709968689440606,3.6593652154501886,15.369333904890794,A_conservador
90,HUB CONTENIDO & ACTIVACIÓN,0.4958078984719087,10.907773766381991,3.408679301994372,14.316453068376363,A_conservador
79,NOMBRE,0.4713300320853747,10.369260705878244,3.2403939705869513,13.609654676465194,A_conservador
14,FUNDACIÓN MAHOU SAN MIGUEL,0.39372923530796183,8.66204317677516,2.7068884927422374,11.368931669517398,A_conservador
46,REFEEL,0.37261582775221286,8.197548210548684,2.5617338157964635,10.759282026345147,A_conservador
32,MCC CENTRO - OESTE,0.16397493865296522,3.6074486503652348,1.127327703239136,4.734776353604371,A_conservador
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,0.1281229645897784,2.818705220975125,0.8808453815547266,3.6995506025298512,A_conservador
76,NOMBRE,0.08641083322926199,1.9010383310437637,0.5940744784511762,2.49511280949494,A_conservador
7,,0.0372925700297246,0.8204365406539412,0.2563864189543566,1.0768229596082979,A_conservador
34,CUENTAS NACIONALES,-0.07879389386587912,-1.7334656650493407,-0.541708020327919,-2.2751736853772595,A_conservador
87,,-0.15057157105101998,-3.3125745631224395,-1.0351795509757622,-4.347754114098201,A_conservador
16,,-0.6060881642263293,-13.333939612979243,-4.166856129056014,-17.50079574203526,A_conservador
40,,-53.71656484610799,-1181.764426614376,-369.3013833169924,-1551.0658099313682,A_conservador
82,BRUTUS DESARROLLO COMERCIAL,89.72156287030452,1973.8743831466995,616.8357447333435,2590.710127880043,B_base_recomendado
3,ALHAMBRA,38.37439183505979,844.2366203713153,263.8239438660361,1108.0605642373514,B_base_recomendado
4,NOMBRE,37.90480891099712,833.9057960419366,260.5955612631052,1094.501357305042,B_base_recomendado
30,EVENTOS COMERCIALES,32.18050941360512,707.9712070993127,221.24100221853524,929.212209317848,B_base_recomendado
23,MAHOU-MARKETING OCIO,30.82173331839675,678.0781330047284,211.89941656397767,889.9775495687061,B_base_recomendado
95,INNOVACION,17.630647221423814,387.8742388713239,121.21069964728872,509.0849385186126,B_base_recomendado
29,MAHOU FUTBOL,15.548020254023141,342.0564455885091,106.89263924640909,448.9490848349182,B_base_recomendado
96,NOMBRE,11.504187395163843,253.09212269360455,79.09128834175142,332.18341103535596,B_base_recomendado
86,GOLF,8.071912179696543,177.58206795332396,55.49439623541373,233.0764641887377,B_base_recomendado
5,NOMBRE,7.612786605030825,167.48130531067815,52.33790790958693,219.81921322026508,B_base_recomendado
6,CRAFT,3.690447565279354,81.18984643614579,25.371827011295554,106.56167344744134,B_base_recomendado
62,MAHOU JOVEN,1.380964264561702,30.381213820357445,9.4941293188617,39.87534313921915,B_base_recomendado
89,BRAND MANAGEMENT MERCADO,1.218661344327302,26.810549575200643,8.3782967422502,35.18884631745084,B_base_recomendado
98,MAHOU CANAL,0.9256321887179542,20.36390815179499,6.363721297435935,26.727629449230925,B_base_recomendado
64,CORONA,0.7632481283106963,16.79145882283532,5.247330882136037,22.038789704971357,B_base_recomendado
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,0.6243619260125179,13.735962372275395,4.292488241336061,18.028450613611454,B_base_recomendado
61,MAHOU CORPORATIVO,0.5988031081263945,13.173668378780679,4.116771368368962,17.29043974714964,B_base_recomendado
12,ESPACIOS CERVECERAS,0.5759225204286414,12.670295449430112,3.9594673279469097,16.62976277737702,B_base_recomendado
79,NOMBRE,0.5486773129569988,12.070900885053975,3.7721565265793666,15.843057411633342,B_base_recomendado
14,FUNDACIÓN MAHOU SAN MIGUEL,0.39338721243139857,8.654518673490768,2.7045370854658652,11.359055758956634,B_base_recomendado
46,REFEEL,0.37409383074820074,8.230064276460416,2.57189508639388,10.801959362854296,B_base_recomendado
76,NOMBRE,0.2977885596264074,6.551348311780963,2.0472963474315504,8.598644659212514,B_base_recomendado
24,MCC MADRID,0.2838249296976636,6.244148453348599,1.9512963916714372,8.195444845020036,B_base_recomendado
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,0.13437699945029336,2.956293987906454,0.9238418712207668,3.880135859127221,B_base_recomendado
32,MCC CENTRO - OESTE,0.12111650203542594,2.6645630447793707,0.8326759514935533,3.497238996272924,B_base_recomendado
7,,0.04120750826259448,0.9065651817770786,0.28330161930533704,1.1898668010824156,B_base_recomendado
34,CUENTAS NACIONALES,-0.0482294733486298,-1.0610484136698557,-0.3315776292718299,-1.3926260429416857,B_base_recomendado
87,,-0.1297066844897408,-2.8535470587742973,-0.8917334558669681,-3.7452805146412653,B_base_recomendado
16,,-0.549493195778321,-12.088850307123062,-3.7777657209759568,-15.866616028099019,B_base_recomendado
90,HUB CONTENIDO & ACTIVACIÓN,-1.0659600780074678,-23.45112171616429,-7.32847553630134,-30.77959725246563,B_base_recomendado
40,,-48.61558719322709,-1069.542918250996,-334.2321619534362,-1403.7750802044322,B_base_recomendado
82,BRUTUS DESARROLLO COMERCIAL,92.97470076806607,2045.4434168974535,639.2010677804542,2684.6444846779077,C_agresivo
3,ALHAMBRA,39.19558996670318,862.3029792674699,269.4696810210844,1131.7726602885543,C_agresivo
4,NOMBRE,38.366690105089766,844.0671823119749,263.77099447249213,1107.8381767844671,C_agresivo
23,MAHOU-MARKETING OCIO,34.46705206005247,758.2751453211542,236.96098291286074,995.236128234015,C_agresivo
30,EVENTOS COMERCIALES,32.81784008081307,721.9924817778875,225.62265055558987,947.6151323334774,C_agresivo
95,INNOVACION,17.60989858268953,387.4177688191697,121.06805275599054,508.48582157516023,C_agresivo
29,MAHOU FUTBOL,15.561378587487322,342.3503289247211,106.98447778897534,449.3348067136965,C_agresivo
96,NOMBRE,11.736057911930054,258.19327406246117,80.68539814451913,338.8786722069803,C_agresivo
86,GOLF,8.1125399978299,178.4758799522578,55.773712485080566,234.24959243733838,C_agresivo
5,NOMBRE,7.619734164955657,167.63415162902447,52.38567238407015,220.01982401309462,C_agresivo
6,CRAFT,3.651027524553946,80.32260554018681,25.100814231308377,105.42341977149519,C_agresivo
62,MAHOU JOVEN,1.5043320831262448,33.095305828777384,10.342283071492933,43.43758890027031,C_agresivo
89,BRAND MANAGEMENT MERCADO,1.3189592787168376,29.017104131770427,9.06784504117826,38.08494917294868,C_agresivo
98,MAHOU CANAL,0.9277844029648372,20.41125686522642,6.378517770383256,26.789774635609675,C_agresivo
64,CORONA,0.7588142571467786,16.693913657229132,5.216848017884104,21.910761675113235,C_agresivo
61,MAHOU CORPORATIVO,0.6249628714325992,13.749183171517183,4.29661974109912,18.045802912616303,C_agresivo
