pasillo_destino,lado_destino,posicion_fisica,posicion_visual,ubicacion_destino,tipologia,propietario,owner_name,owner_name_abc,picking_lineas_2026,picking_transacciones_2026,picking_unidades_2026,abc_picking_2026,owner_name_final,abc_visual,label_owner_abc
4,par,104,110,004-110-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
4,par,106,112,004-112-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
4,par,108,114,004-114-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,1,1,005-001-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,3,3,005-003-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,5,5,005-005-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,7,7,005-007-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,9,9,005-009-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,11,11,005-011-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,13,13,005-013-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,15,15,005-015-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,17,17,005-017-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,19,19,005-019-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,21,21,005-021-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,23,23,005-023-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,25,25,005-025-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,27,27,005-027-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,29,29,005-029-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,31,31,005-031-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,33,33,005-033-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,35,35,005-035-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,37,37,005-037-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,39,39,005-039-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,41,41,005-041-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,43,43,005-043-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,45,45,005-045-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,47,47,005-047-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,49,49,005-049-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,51,51,005-051-00,owner_block,3,ALHAMBRA,ALHAMBRA,405.0,130.0,40695.0,A,ALHAMBRA,A,3 ALHAMBRA
5,impar,53,53,005-053-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,,55,005-055-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
5,impar,,57,005-057-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
5,impar,,59,005-059-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
5,impar,55,61,005-061-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,57,63,005-063-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,59,65,005-065-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,61,67,005-067-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,63,69,005-069-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,65,71,005-071-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,67,73,005-073-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,69,75,005-075-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,71,77,005-077-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,73,79,005-079-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,75,81,005-081-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,77,83,005-083-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,79,85,005-085-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,81,87,005-087-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,83,89,005-089-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,85,91,005-091-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,87,93,005-093-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,89,95,005-095-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,91,97,005-097-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,93,99,005-099-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,95,101,005-101-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,97,103,005-103-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
